X,Y,Z,FALL,ACTION
0.00,0.00,1.00,True,FALLING_BACKWARDS
0.01,-0.03,1.00,True,FALLING_BACKWARDS
-0.94,0.27,1.70,True,FALLING_BACKWARDS
-0.64,0.00,0.96,True,FALLING_BACKWARDS
-0.47,0.10,0.98,True,FALLING_BACKWARDS
-0.66,0.07,0.66,True,FALLING_BACKWARDS
-0.37,0.15,0.83,True,FALLING_BACKWARDS
-0.35,0.32,0.91,True,FALLING_BACKWARDS
-0.33,0.28,0.88,True,FALLING_BACKWARDS
-0.45,0.36,0.76,True,FALLING_BACKWARDS
-0.51,0.45,0.78,True,FALLING_BACKWARDS
-0.59,0.53,0.60,True,FALLING_BACKWARDS
-0.50,0.45,0.55,True,FALLING_BACKWARDS
-0.48,0.50,0.46,True,FALLING_BACKWARDS
-0.43,0.59,0.54,True,FALLING_BACKWARDS
-0.35,0.52,0.42,True,FALLING_BACKWARDS
-0.39,0.62,0.50,True,FALLING_BACKWARDS
-0.09,0.34,0.39,True,FALLING_BACKWARDS
-0.36,0.50,0.46,True,FALLING_BACKWARDS
-0.38,0.41,0.66,True,FALLING_BACKWARDS
-0.35,0.39,0.37,True,FALLING_BACKWARDS
-0.32,0.54,0.38,True,FALLING_BACKWARDS
-0.45,0.50,0.42,True,FALLING_BACKWARDS
-0.62,0.58,0.54,True,FALLING_BACKWARDS
-0.53,0.08,0.73,True,FALLING_BACKWARDS
-0.61,0.31,0.87,True,FALLING_BACKWARDS
-0.54,-0.07,0.97,True,FALLING_BACKWARDS
-0.84,0.13,1.05,True,FALLING_BACKWARDS
-0.60,0.16,1.13,True,FALLING_BACKWARDS
-0.67,0.40,1.13,True,FALLING_BACKWARDS
-0.23,0.31,1.09,True,FALLING_BACKWARDS
-0.13,-0.47,1.03,True,FALLING_BACKWARDS
-0.12,-0.58,1.67,True,FALLING_BACKWARDS
0.38,-0.30,0.79,True,FALLING_BACKWARDS
0.02,-0.46,0.17,True,FALLING_BACKWARDS
-0.26,-0.11,-0.44,True,FALLING_BACKWARDS
-0.31,-0.83,1.18,True,FALLING_BACKWARDS
0.16,-0.81,0.85,True,FALLING_BACKWARDS
0.04,-1.04,1.46,True,FALLING_BACKWARDS
0.30,-0.89,0.57,True,FALLING_BACKWARDS
0.11,-0.74,0.76,True,FALLING_BACKWARDS
0.81,-1.33,0.42,True,FALLING_BACKWARDS
0.42,-1.02,0.54,True,FALLING_BACKWARDS
0.73,-0.88,0.34,True,FALLING_BACKWARDS
0.41,-0.68,0.47,True,FALLING_BACKWARDS
0.52,-0.87,0.46,True,FALLING_BACKWARDS
0.47,-0.74,0.43,True,FALLING_BACKWARDS
0.46,-0.77,0.40,True,FALLING_BACKWARDS
0.36,-0.84,0.39,True,FALLING_BACKWARDS
0.36,-0.91,0.28,True,FALLING_BACKWARDS
0.24,-0.99,0.49,True,FALLING_BACKWARDS
0.25,-1.00,0.43,True,FALLING_BACKWARDS
0.28,-0.86,0.37,True,FALLING_BACKWARDS
0.13,-0.87,0.48,True,FALLING_BACKWARDS
0.33,-0.90,0.32,True,FALLING_BACKWARDS
0.21,-0.83,0.41,True,FALLING_BACKWARDS
0.18,-0.86,0.41,True,FALLING_BACKWARDS
0.17,-0.85,0.40,True,FALLING_BACKWARDS
0.12,-0.84,0.43,True,FALLING_BACKWARDS
0.15,-0.92,0.50,True,FALLING_BACKWARDS
0.18,-0.89,0.53,True,FALLING_BACKWARDS
