X,Y,Z,FALL,ACTION
0.00,0.00,1.00,False,SITTING
0.00,0.01,1.01,False,SITTING
0.01,0.24,1.92,False,SITTING
0.15,0.30,0.69,False,SITTING
0.04,0.39,1.36,False,SITTING
0.22,0.21,0.39,False,SITTING
0.61,0.58,0.96,False,SITTING
0.59,0.40,1.10,False,SITTING
0.63,0.27,0.16,False,SITTING
0.65,0.64,1.06,False,SITTING
0.53,0.28,0.11,False,SITTING
0.51,0.51,0.46,False,SITTING
0.65,0.30,0.18,False,SITTING
0.76,0.50,0.22,False,SITTING
0.84,0.42,0.07,False,SITTING
0.79,0.42,0.15,False,SITTING
0.69,0.45,0.29,False,SITTING
0.85,0.46,0.19,False,SITTING
0.75,0.42,0.43,False,SITTING
0.88,0.39,0.47,False,SITTING
0.80,0.57,0.51,False,SITTING
0.64,0.50,0.73,False,SITTING
0.71,0.40,0.65,False,SITTING
0.81,0.48,0.78,False,SITTING
0.58,0.29,0.81,False,SITTING
0.63,0.46,0.89,False,SITTING
0.36,0.28,0.89,False,SITTING
0.58,0.58,0.89,False,SITTING
-0.06,0.40,1.02,False,SITTING
0.30,0.53,0.83,False,SITTING
0.36,0.56,0.92,False,SITTING
0.29,0.76,0.95,False,SITTING
0.43,0.80,0.92,False,SITTING
0.55,0.81,0.83,False,SITTING
0.33,0.59,0.75,False,SITTING
-0.05,1.15,0.80,False,SITTING
0.31,0.32,0.82,False,SITTING
0.36,0.87,1.01,False,SITTING
-0.10,0.60,0.92,False,SITTING
-0.10,0.36,0.75,False,SITTING
-0.19,0.47,0.47,False,SITTING
-0.10,0.39,0.49,False,SITTING
-0.24,0.34,0.56,False,SITTING
-0.03,0.26,0.57,False,SITTING
-0.13,0.43,0.82,False,SITTING
-0.28,0.34,0.72,False,SITTING
-0.03,0.44,0.74,False,SITTING
0.46,0.85,0.93,False,SITTING
0.18,0.40,0.69,False,SITTING
0.48,0.56,0.71,False,SITTING
0.52,0.47,0.54,False,SITTING
0.69,0.48,0.53,False,SITTING
0.98,0.56,0.54,False,SITTING
0.94,0.28,0.29,False,SITTING
1.13,0.60,0.46,False,SITTING
1.14,0.44,0.32,False,SITTING
1.35,0.59,0.34,False,SITTING
0.90,0.37,0.24,False,SITTING
1.01,0.43,0.42,False,SITTING
0.93,0.47,0.52,False,SITTING
0.96,0.40,0.58,False,SITTING
0.73,0.27,0.56,False,SITTING
0.92,0.31,0.66,False,SITTING
0.77,0.26,0.63,False,SITTING
0.80,0.22,0.64,False,SITTING
0.82,0.26,0.69,False,SITTING
0.74,0.29,0.67,False,SITTING
0.89,0.40,0.82,False,SITTING
0.75,0.39,0.74,False,SITTING
0.80,0.33,0.71,False,SITTING
0.84,0.30,0.70,False,SITTING
0.80,0.32,0.68,False,SITTING
