X,Y,Z,FALL,ACTION
0.78,-0.25,1.12,False,WALKING
0.14,0.12,1.25,False,WALKING
0.57,0.06,0.87,False,WALKING
0.60,0.03,0.71,False,WALKING
0.50,-0.15,0.85,False,WALKING
0.73,-0.38,1.03,False,WALKING
0.38,-0.17,1.00,False,WALKING
0.59,-0.22,1.30,False,WALKING
0.48,0.03,1.21,False,WALKING
-1.57,-0.10,1.92,False,WALKING
-1.06,0.77,0.73,False,WALKING
0.92,0.32,0.35,False,WALKING
0.22,0.37,0.85,False,WALKING
-0.08,0.62,0.83,False,WALKING
-0.16,0.64,0.84,False,WALKING
0.11,0.78,0.48,False,WALKING
-0.45,0.85,0.48,False,WALKING
-0.07,0.83,0.70,False,WALKING
-0.01,0.64,0.75,False,WALKING
0.07,0.68,0.66,False,WALKING
0.26,0.64,0.72,False,WALKING
0.02,0.76,0.78,False,WALKING
-0.13,0.68,0.60,False,WALKING
-0.26,0.27,0.47,False,WALKING
-0.46,0.44,0.92,False,WALKING
-0.32,0.82,0.69,False,WALKING
-0.54,0.57,0.76,False,WALKING
-0.56,0.51,0.87,False,WALKING
0.06,0.18,0.66,False,WALKING
-0.32,0.75,0.69,False,WALKING
-0.14,0.51,0.65,False,WALKING
-0.88,0.90,0.57,False,WALKING
-0.45,0.48,0.63,False,WALKING
-0.75,0.68,0.57,False,WALKING
-0.86,0.87,0.64,False,WALKING
-0.29,0.50,0.63,False,WALKING
-0.02,0.61,0.60,False,WALKING
-0.47,0.80,0.67,False,WALKING
-0.53,0.74,0.64,False,WALKING
-0.50,0.71,0.62,False,WALKING
-0.41,0.63,0.65,False,WALKING
-0.89,0.77,0.71,False,WALKING
-0.28,0.63,0.71,False,WALKING
-0.11,0.58,0.61,False,WALKING
-0.23,0.55,0.60,False,WALKING
-0.06,0.54,0.59,False,WALKING
-0.17,0.55,0.60,False,WALKING
-0.29,0.53,0.61,False,WALKING
-0.36,0.54,0.62,False,WALKING
-0.50,0.56,0.63,False,WALKING
-0.45,0.57,0.75,False,WALKING
-0.59,0.76,0.76,False,WALKING
-0.83,0.73,0.69,False,WALKING
-0.37,0.47,0.75,False,WALKING
-0.72,0.61,0.62,False,WALKING
-0.63,0.53,0.51,False,WALKING
-0.50,0.60,0.52,False,WALKING
-0.56,0.44,0.67,False,WALKING
-0.18,0.37,0.68,False,WALKING
-0.33,0.50,0.58,False,WALKING
-0.31,0.50,0.51,False,WALKING
-0.41,0.44,0.53,False,WALKING
-0.64,0.39,0.59,False,WALKING
-0.74,0.31,0.59,False,WALKING
-0.74,0.49,0.58,False,WALKING
-0.78,0.38,0.51,False,WALKING
-1.03,0.37,0.62,False,WALKING
-0.32,0.59,0.80,False,WALKING
-0.25,0.66,0.68,False,WALKING
-0.97,0.31,0.67,False,WALKING
-0.38,0.76,0.65,False,WALKING
-0.49,0.52,0.59,False,WALKING
-0.61,0.48,0.60,False,WALKING
-0.57,0.51,0.68,False,WALKING
-0.45,0.44,0.68,False,WALKING
-0.50,0.59,0.65,False,WALKING
-0.48,0.41,0.63,False,WALKING
-0.20,0.61,0.62,False,WALKING
-0.31,0.67,0.67,False,WALKING
-0.65,0.30,0.57,False,WALKING
-0.37,0.50,0.62,False,WALKING
-0.59,0.55,0.60,False,WALKING
-0.65,0.39,0.57,False,WALKING
-0.40,0.57,0.58,False,WALKING
-0.94,0.46,0.74,False,WALKING
-0.93,0.50,0.68,False,WALKING
-0.54,0.50,0.61,False,WALKING
-0.50,0.42,0.54,False,WALKING
-0.64,0.40,0.53,False,WALKING
-0.41,0.37,0.60,False,WALKING
-0.45,0.44,0.71,False,WALKING
-0.53,0.46,0.74,False,WALKING
-0.34,0.50,0.66,False,WALKING
-0.24,0.53,0.60,False,WALKING
-0.35,0.41,0.61,False,WALKING
-0.69,0.40,0.60,False,WALKING
-0.67,0.27,0.61,False,WALKING
-0.78,0.45,0.61,False,WALKING
-0.87,0.24,0.59,False,WALKING
-0.64,0.33,0.64,False,WALKING
-0.91,0.29,0.66,False,WALKING
-0.57,0.52,0.70,False,WALKING
-0.22,0.50,0.66,False,WALKING
-0.60,0.43,0.67,False,WALKING
-0.71,0.60,0.68,False,WALKING
-0.40,0.43,0.68,False,WALKING
-0.35,0.43,0.70,False,WALKING
-0.49,0.65,0.69,False,WALKING
-0.53,0.50,0.65,False,WALKING
-0.43,0.59,0.59,False,WALKING
-0.45,0.52,0.55,False,WALKING
-0.43,0.64,0.56,False,WALKING
-0.46,0.47,0.54,False,WALKING
-0.44,0.53,0.55,False,WALKING
-0.70,0.59,0.60,False,WALKING
-0.65,0.36,0.63,False,WALKING
-0.62,0.59,0.64,False,WALKING
-0.52,0.44,0.73,False,WALKING
-0.55,0.61,0.64,False,WALKING
-0.55,0.24,0.56,False,WALKING
0.07,0.62,0.72,False,WALKING
-0.34,0.65,0.84,False,WALKING
-0.55,0.43,0.61,False,WALKING
-0.61,0.87,0.89,False,WALKING
-0.69,0.63,0.57,False,WALKING
-0.22,0.74,0.73,False,WALKING
-0.34,0.63,0.62,False,WALKING
-0.07,0.74,0.83,False,WALKING
-0.10,0.54,0.77,False,WALKING
-0.01,0.71,0.71,False,WALKING
0.00,0.54,0.84,False,WALKING
0.00,0.69,0.68,False,WALKING
-0.03,0.64,0.56,False,WALKING
