X,Y,Z,FALL,ACTION
-0.00,0.00,1.00,False,WALKING
-0.08,0.02,0.99,False,WALKING
-0.02,-0.01,1.00,False,WALKING
-0.04,-0.01,1.00,False,WALKING
-0.01,-0.00,1.00,False,WALKING
-0.07,-0.01,0.99,False,WALKING
0.01,-0.01,1.00,False,WALKING
-0.01,-0.01,1.00,False,WALKING
-0.00,-0.01,0.99,False,WALKING
0.02,-0.04,1.00,False,WALKING
0.38,-0.12,1.09,False,WALKING
0.03,0.39,1.17,False,WALKING
0.19,0.10,1.16,False,WALKING
0.40,0.17,0.82,False,WALKING
0.36,0.27,0.93,False,WALKING
-0.63,0.25,0.90,False,WALKING
0.03,0.32,1.01,False,WALKING
-0.03,0.35,1.14,False,WALKING
0.20,0.43,1.05,False,WALKING
-0.31,0.55,1.32,False,WALKING
-0.21,0.57,1.03,False,WALKING
-0.63,0.78,1.49,False,WALKING
0.54,0.34,0.18,False,WALKING
1.09,0.01,0.94,False,WALKING
0.88,0.29,0.69,False,WALKING
0.44,0.44,0.37,False,WALKING
0.86,0.39,0.60,False,WALKING
0.82,0.40,0.50,False,WALKING
0.56,0.06,0.76,False,WALKING
0.81,0.65,0.55,False,WALKING
0.65,0.54,0.51,False,WALKING
0.71,0.62,0.43,False,WALKING
0.46,0.59,0.45,False,WALKING
0.69,1.75,0.38,False,WALKING
-0.10,0.86,0.40,False,WALKING
0.07,0.98,0.64,False,WALKING
0.10,0.85,0.55,False,WALKING
-0.21,0.67,0.54,False,WALKING
-0.20,0.90,0.56,False,WALKING
-0.17,0.69,0.56,False,WALKING
-0.26,0.72,0.58,False,WALKING
-0.23,0.77,0.61,False,WALKING
-0.13,0.77,0.62,False,WALKING
-0.08,0.71,0.74,False,WALKING
-0.32,0.77,0.74,False,WALKING
-0.14,0.73,0.72,False,WALKING
-0.17,0.66,0.70,False,WALKING
-0.19,0.61,0.67,False,WALKING
-0.27,0.58,0.60,False,WALKING
-0.10,0.51,0.63,False,WALKING
-0.10,0.53,0.66,False,WALKING
-0.15,0.72,0.76,False,WALKING
-0.24,0.68,0.72,False,WALKING
-0.10,0.52,0.60,False,WALKING
-0.18,0.47,0.55,False,WALKING
-0.33,0.69,0.61,False,WALKING
-0.38,0.70,0.64,False,WALKING
-0.43,0.56,0.62,False,WALKING
-0.41,0.72,0.63,False,WALKING
-0.30,0.65,0.68,False,WALKING
-0.21,0.65,0.71,False,WALKING
-0.10,0.72,0.71,False,WALKING
-0.04,0.71,0.72,False,WALKING
-0.13,0.59,0.62,False,WALKING
-0.03,0.56,0.68,False,WALKING
-0.10,0.50,0.78,False,WALKING
-0.32,0.72,0.84,False,WALKING
-0.50,0.83,0.81,False,WALKING
-0.20,0.59,0.70,False,WALKING
-0.17,0.55,0.64,False,WALKING
-0.22,0.64,0.64,False,WALKING
-0.24,0.59,0.69,False,WALKING
-0.21,0.75,0.77,False,WALKING
-0.36,0.72,0.79,False,WALKING
-0.11,0.62,0.82,False,WALKING
-0.07,0.73,0.80,False,WALKING
-0.36,0.85,0.70,False,WALKING
-0.09,0.60,0.60,False,WALKING
-0.17,0.50,0.58,False,WALKING
-0.10,0.54,0.70,False,WALKING
-0.10,0.60,0.71,False,WALKING
-0.31,0.81,0.63,False,WALKING
0.01,0.59,0.58,False,WALKING
-0.19,0.44,0.57,False,WALKING
-0.38,0.54,0.54,False,WALKING
-0.25,0.64,0.54,False,WALKING
-0.38,0.72,0.69,False,WALKING
-0.62,0.85,0.75,False,WALKING
-0.35,0.77,0.71,False,WALKING
-0.14,0.39,0.61,False,WALKING
-0.29,0.68,0.68,False,WALKING
-0.37,1.16,0.67,False,WALKING
0.06,0.35,0.60,False,WALKING
-0.58,0.89,0.69,False,WALKING
-0.03,0.81,0.71,False,WALKING
-0.09,0.67,0.54,False,WALKING
-0.07,0.63,0.36,False,WALKING
0.23,0.76,0.52,False,WALKING
0.06,0.77,0.71,False,WALKING
0.21,0.80,0.72,False,WALKING
0.19,0.81,0.64,False,WALKING
0.33,0.63,0.59,False,WALKING
0.54,0.55,0.59,False,WALKING
0.47,0.69,0.84,False,WALKING
0.44,0.65,0.75,False,WALKING
0.48,0.64,0.62,False,WALKING
0.41,0.66,0.61,False,WALKING
0.50,0.70,0.63,False,WALKING
0.27,0.74,0.85,False,WALKING
0.26,0.69,0.61,False,WALKING
