X,Y,Z,FALL,ACTION
0.06,0.06,1.00,False,WALKING
-0.18,0.15,1.31,False,WALKING
0.07,0.17,1.07,False,WALKING
0.00,0.00,1.03,False,WALKING
-0.25,0.04,0.94,False,WALKING
-0.15,0.03,1.13,False,WALKING
-0.47,0.12,0.93,False,WALKING
-0.34,0.31,0.64,False,WALKING
-0.34,0.37,0.84,False,WALKING
-0.03,0.35,0.81,False,WALKING
-0.05,0.40,0.88,False,WALKING
0.14,0.58,0.92,False,WALKING
0.07,0.63,0.92,False,WALKING
0.15,0.51,0.90,False,WALKING
0.20,0.42,0.78,False,WALKING
0.21,0.43,0.85,False,WALKING
0.09,0.46,1.07,False,WALKING
0.13,0.39,0.79,False,WALKING
0.05,0.39,0.90,False,WALKING
0.08,0.39,0.79,False,WALKING
0.08,0.41,0.86,False,WALKING
0.11,0.49,0.81,False,WALKING
0.11,0.41,0.74,False,WALKING
0.03,0.51,0.79,False,WALKING
-0.01,0.48,0.68,False,WALKING
0.04,0.63,0.80,False,WALKING
0.35,0.78,0.75,False,WALKING
0.05,0.76,0.67,False,WALKING
0.10,0.86,0.71,False,WALKING
0.22,0.86,0.69,False,WALKING
0.20,0.83,0.59,False,WALKING
0.29,0.71,0.61,False,WALKING
0.18,0.73,0.61,False,WALKING
0.24,0.65,0.56,False,WALKING
0.23,0.82,0.73,False,WALKING
0.25,0.84,0.62,False,WALKING
0.28,0.90,0.49,False,WALKING
0.30,0.78,0.34,False,WALKING
0.05,0.91,0.30,False,WALKING
0.19,0.84,0.25,False,WALKING
0.17,0.79,0.27,False,WALKING
0.30,0.90,0.25,False,WALKING
0.27,0.93,0.18,False,WALKING
0.25,0.98,0.06,False,WALKING
0.26,0.80,-0.05,False,WALKING
0.30,0.92,-0.02,False,WALKING
0.39,1.01,-0.06,False,WALKING
0.46,0.99,-0.05,False,WALKING
0.40,1.14,-0.02,False,WALKING
0.39,0.96,0.07,False,WALKING
0.28,0.99,0.00,False,WALKING
0.29,0.96,0.08,False,WALKING
0.27,0.89,0.14,False,WALKING
0.32,0.81,0.23,False,WALKING
0.30,0.77,0.21,False,WALKING
0.40,0.89,0.26,False,WALKING
0.60,0.88,0.34,False,WALKING
0.61,0.94,0.40,False,WALKING
0.52,0.60,0.31,False,WALKING
0.54,0.63,0.23,False,WALKING
0.54,0.74,0.19,False,WALKING
0.63,0.79,0.19,False,WALKING
0.64,0.80,0.22,False,WALKING
0.55,0.69,0.23,False,WALKING
0.58,0.81,0.38,False,WALKING
0.49,0.95,0.38,False,WALKING
0.46,0.98,0.51,False,WALKING
0.38,0.79,0.65,False,WALKING
0.40,0.75,0.66,False,WALKING
0.39,0.81,0.62,False,WALKING
0.34,0.74,0.50,False,WALKING
0.29,0.58,0.33,False,WALKING
0.26,0.55,0.40,False,WALKING
0.26,0.61,0.44,False,WALKING
0.11,0.89,0.61,False,WALKING
0.06,1.00,0.67,False,WALKING
-0.09,1.18,0.72,False,WALKING
0.05,0.78,0.46,False,WALKING
0.07,0.74,0.51,False,WALKING
0.16,0.64,0.46,False,WALKING
0.07,0.84,0.47,False,WALKING
0.34,0.68,1.01,False,WALKING
-0.08,0.51,0.90,False,WALKING
0.10,0.44,0.95,False,WALKING
-0.06,0.39,1.06,False,WALKING
0.00,0.42,1.09,False,WALKING
-0.08,0.41,0.90,False,WALKING
0.06,0.34,0.84,False,WALKING
0.06,0.31,0.94,False,WALKING
-0.03,0.32,1.06,False,WALKING
-0.20,0.34,0.94,False,WALKING
-0.10,0.27,0.98,False,WALKING
-0.06,0.25,0.90,False,WALKING
-0.19,0.24,0.91,False,WALKING
-0.09,0.05,0.96,False,WALKING
-0.21,-0.02,0.92,False,WALKING
-0.27,-0.09,1.01,False,WALKING
-0.28,-0.33,1.00,False,WALKING
-0.27,-0.14,0.94,False,WALKING
-0.12,-0.09,0.97,False,WALKING
-0.20,-0.09,0.86,False,WALKING
-0.24,-0.15,0.93,False,WALKING
-0.13,-0.23,1.08,False,WALKING
-0.19,-0.10,1.05,False,WALKING
-0.14,0.01,0.97,False,WALKING
-0.12,-0.08,1.00,False,WALKING
-0.07,-0.13,1.07,False,WALKING
