X,Y,Z,FALL,ACTION
-0.00,-0.00,1.00,True,FALLING_FORWARD
0.08,0.05,1.01,True,FALLING_FORWARD
0.16,0.17,1.05,True,FALLING_FORWARD
-0.02,0.11,1.72,True,FALLING_FORWARD
0.21,0.54,1.06,True,FALLING_FORWARD
0.84,1.02,0.66,True,FALLING_FORWARD
0.57,0.08,0.60,True,FALLING_FORWARD
0.65,0.39,0.67,True,FALLING_FORWARD
0.50,0.49,0.13,True,FALLING_FORWARD
0.86,0.65,0.32,True,FALLING_FORWARD
1.07,0.28,0.84,True,FALLING_FORWARD
1.10,0.54,0.15,True,FALLING_FORWARD
0.81,0.48,-0.06,True,FALLING_FORWARD
0.74,0.62,0.08,True,FALLING_FORWARD
0.91,0.86,-0.02,True,FALLING_FORWARD
1.41,0.97,0.18,True,FALLING_FORWARD
0.92,0.74,-0.00,True,FALLING_FORWARD
0.77,0.91,0.38,True,FALLING_FORWARD
0.87,0.55,-0.35,True,FALLING_FORWARD
1.03,0.18,-0.21,True,FALLING_FORWARD
0.92,0.21,-0.13,True,FALLING_FORWARD
1.07,0.75,0.07,True,FALLING_FORWARD
0.85,0.52,-0.15,True,FALLING_FORWARD
0.92,0.66,-0.19,True,FALLING_FORWARD
1.24,0.67,-0.16,True,FALLING_FORWARD
1.10,0.63,-0.22,True,FALLING_FORWARD
0.67,0.47,-0.10,True,FALLING_FORWARD
0.57,0.61,-0.04,True,FALLING_FORWARD
0.59,0.74,-0.04,True,FALLING_FORWARD
0.36,0.60,0.05,True,FALLING_FORWARD
0.19,0.51,0.02,True,FALLING_FORWARD
0.44,0.51,-0.04,True,FALLING_FORWARD
0.57,0.44,-0.08,True,FALLING_FORWARD
0.75,0.33,0.12,True,FALLING_FORWARD
0.67,0.23,-0.11,True,FALLING_FORWARD
0.51,0.03,-0.27,True,FALLING_FORWARD
0.35,-0.21,-0.37,True,FALLING_FORWARD
0.36,-0.43,-0.65,True,FALLING_FORWARD
0.76,-0.89,-0.74,True,FALLING_FORWARD
0.52,-0.70,-0.97,True,FALLING_FORWARD
0.98,-0.56,-0.91,True,FALLING_FORWARD
0.84,-0.36,-1.29,True,FALLING_FORWARD
0.44,-0.56,-1.69,True,FALLING_FORWARD
0.68,-0.35,-1.44,True,FALLING_FORWARD
0.08,-0.36,-0.80,True,FALLING_FORWARD
0.81,0.20,-1.50,True,FALLING_FORWARD
-0.03,-0.43,-0.89,True,FALLING_FORWARD
0.14,-0.48,-0.99,True,FALLING_FORWARD
0.76,0.34,-1.69,True,FALLING_FORWARD
1.14,-0.06,-1.06,True,FALLING_FORWARD
0.80,-0.22,-0.74,True,FALLING_FORWARD
-0.17,-0.93,-0.62,True,FALLING_FORWARD
0.47,-0.55,-0.91,True,FALLING_FORWARD
-0.20,-0.50,-1.14,True,FALLING_FORWARD
0.38,-0.64,-0.69,True,FALLING_FORWARD
-0.14,-0.68,-0.77,True,FALLING_FORWARD
0.19,-0.35,-0.88,True,FALLING_FORWARD
0.11,-0.38,-0.81,True,FALLING_FORWARD
0.18,-0.35,-1.00,True,FALLING_FORWARD
0.20,-0.62,-0.82,True,FALLING_FORWARD
0.22,-0.55,-0.98,True,FALLING_FORWARD
0.05,-0.13,-0.47,True,FALLING_FORWARD
0.75,-0.93,-1.07,True,FALLING_FORWARD
0.53,-0.94,-1.06,True,FALLING_FORWARD
0.22,-0.26,-0.53,True,FALLING_FORWARD
0.35,-0.40,-0.80,True,FALLING_FORWARD
0.48,-0.43,-0.94,True,FALLING_FORWARD
0.42,-0.48,-0.68,True,FALLING_FORWARD
0.63,-0.35,-0.89,True,FALLING_FORWARD
0.48,-0.63,-0.84,True,FALLING_FORWARD
0.54,-0.43,-0.80,True,FALLING_FORWARD
0.56,-0.73,-1.16,True,FALLING_FORWARD
0.48,-0.29,-0.83,True,FALLING_FORWARD
0.51,-0.43,-0.94,True,FALLING_FORWARD
0.50,-0.43,-0.70,True,FALLING_FORWARD
0.33,-0.46,-0.68,True,FALLING_FORWARD
