X,Y,Z,FALL,ACTION
0.22,-0.22,1.04,True,FALLING_FORWARD
-0.07,-0.16,1.77,True,FALLING_FORWARD
0.51,-0.12,1.16,True,FALLING_FORWARD
0.71,-0.10,1.31,True,FALLING_FORWARD
0.65,-0.07,0.91,True,FALLING_FORWARD
0.90,0.11,0.99,True,FALLING_FORWARD
1.03,0.14,0.88,True,FALLING_FORWARD
0.98,0.26,0.88,True,FALLING_FORWARD
0.93,0.40,0.38,True,FALLING_FORWARD
0.79,0.25,0.39,True,FALLING_FORWARD
0.85,0.32,0.16,True,FALLING_FORWARD
0.89,0.11,0.36,True,FALLING_FORWARD
0.58,-0.26,0.40,True,FALLING_FORWARD
0.57,-0.01,0.35,True,FALLING_FORWARD
0.57,-0.28,0.31,True,FALLING_FORWARD
0.57,-0.35,0.33,True,FALLING_FORWARD
0.37,-0.26,0.52,True,FALLING_FORWARD
0.64,-0.05,0.83,True,FALLING_FORWARD
0.72,-0.22,0.65,True,FALLING_FORWARD
-0.13,0.61,1.58,True,FALLING_FORWARD
0.55,-0.01,0.53,True,FALLING_FORWARD
0.83,0.23,0.56,True,FALLING_FORWARD
0.77,0.50,0.50,True,FALLING_FORWARD
0.77,0.39,0.67,True,FALLING_FORWARD
0.84,0.63,0.53,True,FALLING_FORWARD
0.56,0.50,0.20,True,FALLING_FORWARD
0.78,0.81,0.21,True,FALLING_FORWARD
0.75,0.88,0.30,True,FALLING_FORWARD
0.75,0.69,0.18,True,FALLING_FORWARD
0.84,0.74,0.11,True,FALLING_FORWARD
0.75,0.63,0.16,True,FALLING_FORWARD
0.78,0.66,0.06,True,FALLING_FORWARD
0.75,0.44,0.10,True,FALLING_FORWARD
1.06,0.61,0.04,True,FALLING_FORWARD
0.99,0.53,0.12,True,FALLING_FORWARD
0.84,0.44,0.14,True,FALLING_FORWARD
0.86,0.50,0.12,True,FALLING_FORWARD
0.85,0.58,0.17,True,FALLING_FORWARD
0.65,0.53,0.20,True,FALLING_FORWARD
0.58,0.62,0.30,True,FALLING_FORWARD
0.73,0.69,0.42,True,FALLING_FORWARD
0.44,0.69,0.31,True,FALLING_FORWARD
0.57,0.67,0.50,True,FALLING_FORWARD
0.49,0.67,0.18,True,FALLING_FORWARD
0.64,0.65,0.19,True,FALLING_FORWARD
0.31,0.45,0.10,True,FALLING_FORWARD
0.34,0.38,-0.02,True,FALLING_FORWARD
0.16,0.24,-0.30,True,FALLING_FORWARD
0.28,0.18,0.25,True,FALLING_FORWARD
-0.12,0.10,-0.69,True,FALLING_FORWARD
0.06,0.71,-1.65,True,FALLING_FORWARD
0.28,0.31,-0.78,True,FALLING_FORWARD
0.95,0.55,-0.98,True,FALLING_FORWARD
-0.74,1.54,-1.84,True,FALLING_FORWARD
1.40,1.69,-0.65,True,FALLING_FORWARD
1.13,1.39,-0.37,True,FALLING_FORWARD
-0.37,0.69,-0.17,True,FALLING_FORWARD
1.03,0.08,-0.61,True,FALLING_FORWARD
0.61,0.55,-0.29,True,FALLING_FORWARD
1.08,1.02,-0.23,True,FALLING_FORWARD
0.43,0.58,-2.06,True,FALLING_FORWARD
0.11,0.86,0.31,True,FALLING_FORWARD
0.67,0.69,-0.42,True,FALLING_FORWARD
0.04,1.04,-0.25,True,FALLING_FORWARD
0.70,0.83,0.19,True,FALLING_FORWARD
-0.27,1.42,-0.41,True,FALLING_FORWARD
1.03,0.14,0.36,True,FALLING_FORWARD
-0.16,0.46,-0.34,True,FALLING_FORWARD
0.51,0.90,0.08,True,FALLING_FORWARD
0.47,0.56,0.00,True,FALLING_FORWARD
0.45,0.96,0.05,True,FALLING_FORWARD
0.21,0.70,-0.02,True,FALLING_FORWARD
0.57,1.32,-0.03,True,FALLING_FORWARD
0.39,0.55,-0.01,True,FALLING_FORWARD
0.56,0.89,-0.20,True,FALLING_FORWARD
0.72,1.09,0.06,True,FALLING_FORWARD
0.66,0.80,-0.02,True,FALLING_FORWARD
0.46,0.88,-0.07,True,FALLING_FORWARD
0.65,0.93,-0.13,True,FALLING_FORWARD
