X,Y,Z,FALL,ACTION
0.00,0.00,1.00,True,FALLING_FORWARD
-0.00,-0.05,1.01,True,FALLING_FORWARD
0.43,0.22,1.28,True,FALLING_FORWARD
0.33,-0.00,1.41,True,FALLING_FORWARD
0.62,0.17,0.97,True,FALLING_FORWARD
0.64,-0.05,0.91,True,FALLING_FORWARD
0.58,0.04,0.65,True,FALLING_FORWARD
0.45,-0.00,0.78,True,FALLING_FORWARD
0.44,0.02,0.80,True,FALLING_FORWARD
0.62,-0.09,0.88,True,FALLING_FORWARD
0.69,-0.08,0.83,True,FALLING_FORWARD
0.81,-0.19,0.97,True,FALLING_FORWARD
0.81,0.08,0.85,True,FALLING_FORWARD
0.82,0.13,0.89,True,FALLING_FORWARD
0.64,0.32,0.98,True,FALLING_FORWARD
0.75,0.39,0.86,True,FALLING_FORWARD
0.67,0.40,0.92,True,FALLING_FORWARD
0.44,0.40,0.65,True,FALLING_FORWARD
0.38,0.31,0.92,True,FALLING_FORWARD
0.42,0.27,0.60,True,FALLING_FORWARD
1.01,0.42,0.84,True,FALLING_FORWARD
0.54,0.25,0.64,True,FALLING_FORWARD
0.62,0.55,0.68,True,FALLING_FORWARD
0.60,0.61,0.96,True,FALLING_FORWARD
0.56,0.59,0.69,True,FALLING_FORWARD
0.40,0.71,0.64,True,FALLING_FORWARD
0.23,0.86,0.30,True,FALLING_FORWARD
0.03,1.03,0.29,True,FALLING_FORWARD
0.02,0.89,0.15,True,FALLING_FORWARD
-0.20,0.97,0.00,True,FALLING_FORWARD
-0.23,0.92,-0.08,True,FALLING_FORWARD
-0.24,1.02,-0.15,True,FALLING_FORWARD
-0.21,0.91,-0.14,True,FALLING_FORWARD
-0.09,0.75,0.00,True,FALLING_FORWARD
-0.19,0.67,0.04,True,FALLING_FORWARD
-0.24,0.72,0.16,True,FALLING_FORWARD
-0.29,0.51,0.23,True,FALLING_FORWARD
-0.39,0.49,0.31,True,FALLING_FORWARD
-0.37,0.71,0.44,True,FALLING_FORWARD
-0.29,0.29,0.26,True,FALLING_FORWARD
0.49,0.97,0.46,True,FALLING_FORWARD
0.42,0.78,0.36,True,FALLING_FORWARD
-1.59,-0.81,-0.64,True,FALLING_FORWARD
0.79,0.95,-0.09,True,FALLING_FORWARD
1.38,1.43,-0.33,True,FALLING_FORWARD
1.51,1.06,-0.43,True,FALLING_FORWARD
0.88,1.01,-1.13,True,FALLING_FORWARD
0.50,0.49,-0.92,True,FALLING_FORWARD
1.25,0.89,-0.24,True,FALLING_FORWARD
0.61,1.44,-0.21,True,FALLING_FORWARD
0.70,0.40,0.02,True,FALLING_FORWARD
0.33,0.48,-0.80,True,FALLING_FORWARD
1.17,0.41,-0.04,True,FALLING_FORWARD
0.43,0.49,-0.62,True,FALLING_FORWARD
1.35,0.98,-0.40,True,FALLING_FORWARD
1.01,0.67,-0.69,True,FALLING_FORWARD
0.99,0.62,-0.40,True,FALLING_FORWARD
0.81,0.26,-0.29,True,FALLING_FORWARD
1.49,0.84,-0.28,True,FALLING_FORWARD
0.98,0.07,-0.25,True,FALLING_FORWARD
1.09,0.50,-0.27,True,FALLING_FORWARD
1.11,0.14,-0.18,True,FALLING_FORWARD
1.16,0.43,-0.31,True,FALLING_FORWARD
1.03,0.14,-0.11,True,FALLING_FORWARD
1.08,0.23,-0.16,True,FALLING_FORWARD
1.19,0.48,-0.13,True,FALLING_FORWARD
0.92,0.42,-0.19,True,FALLING_FORWARD
1.01,0.49,-0.11,True,FALLING_FORWARD
0.96,0.42,-0.17,True,FALLING_FORWARD
1.07,0.53,-0.13,True,FALLING_FORWARD
1.06,0.50,-0.13,True,FALLING_FORWARD
1.04,0.48,-0.18,True,FALLING_FORWARD
1.46,0.42,-0.43,True,FALLING_FORWARD
0.64,0.49,-0.39,True,FALLING_FORWARD
0.94,0.65,-0.34,True,FALLING_FORWARD
0.83,0.46,-0.19,True,FALLING_FORWARD
0.93,0.54,-0.19,True,FALLING_FORWARD
0.89,0.43,-0.24,True,FALLING_FORWARD
0.89,0.43,-0.22,True,FALLING_FORWARD
1.16,0.48,-0.14,True,FALLING_FORWARD
1.08,0.71,-0.28,True,FALLING_FORWARD
1.18,0.09,0.01,True,FALLING_FORWARD
1.04,0.26,-0.04,True,FALLING_FORWARD
1.07,0.55,-0.08,True,FALLING_FORWARD
1.12,0.33,0.03,True,FALLING_FORWARD
0.89,0.29,-0.07,True,FALLING_FORWARD
1.01,0.10,0.19,True,FALLING_FORWARD
0.86,0.29,0.07,True,FALLING_FORWARD
