TIME,X,Y,Z,ACTION
103,-0.41,2.27,9.81,BENDING_DOWN
166,-1.04,-0.02,12.03,BENDING_DOWN
179,-1.15,0.34,11.39,BENDING_DOWN
192,-1.13,0.59,10.54,BENDING_DOWN
205,-0.93,0.67,9.83,BENDING_DOWN
218,-0.71,0.67,9.40,BENDING_DOWN
231,-0.53,0.67,9.03,BENDING_DOWN
244,-0.39,0.70,8.80,BENDING_DOWN
257,-0.29,0.79,8.65,BENDING_DOWN
270,-0.33,0.87,8.68,BENDING_DOWN
283,-0.25,0.97,8.76,BENDING_DOWN
296,0.00,1.03,8.93,BENDING_DOWN
309,0.17,1.00,9.11,BENDING_DOWN
322,0.32,0.86,9.14,BENDING_DOWN
335,0.47,0.70,9.05,BENDING_DOWN
348,0.69,0.55,8.91,BENDING_DOWN
361,0.86,0.39,8.91,BENDING_DOWN
374,0.92,0.38,8.95,BENDING_DOWN
387,0.93,0.40,8.97,BENDING_DOWN
400,0.89,0.49,8.95,BENDING_DOWN
413,0.84,0.56,8.97,BENDING_DOWN
426,0.77,0.67,9.08,BENDING_DOWN
439,0.71,0.80,9.04,BENDING_DOWN
452,0.71,0.90,9.00,BENDING_DOWN
465,0.74,0.93,8.97,BENDING_DOWN
478,0.80,0.93,9.00,BENDING_DOWN
491,0.80,0.93,9.09,BENDING_DOWN
504,0.76,1.00,9.15,BENDING_DOWN
517,0.63,1.05,9.17,BENDING_DOWN
530,0.53,1.07,9.24,BENDING_DOWN
543,0.40,1.05,9.43,BENDING_DOWN
556,0.32,1.04,9.57,BENDING_DOWN
569,0.30,1.09,9.69,BENDING_DOWN
582,0.31,1.12,9.79,BENDING_DOWN
595,0.27,1.13,9.85,BENDING_DOWN
608,0.14,1.17,9.87,BENDING_DOWN
621,-0.02,1.23,9.91,BENDING_DOWN
634,-0.17,1.21,9.90,BENDING_DOWN
647,-0.37,1.12,9.99,BENDING_DOWN
660,-0.44,1.34,10.13,BENDING_DOWN
673,-0.38,1.65,10.31,BENDING_DOWN
686,-0.28,1.70,10.74,BENDING_DOWN
699,-0.26,1.46,11.10,BENDING_DOWN
712,-0.33,0.99,11.34,BENDING_DOWN
725,-0.37,0.38,11.52,BENDING_DOWN
738,-0.45,-0.22,11.60,BENDING_DOWN
751,-0.51,-0.47,11.42,BENDING_DOWN
764,-0.69,-0.67,11.08,BENDING_DOWN
777,-0.61,-0.66,10.38,BENDING_DOWN
790,-0.31,-0.37,9.55,BENDING_DOWN
803,-0.05,0.06,8.93,BENDING_DOWN
816,0.16,0.43,8.69,BENDING_DOWN
829,0.25,0.77,8.57,BENDING_DOWN
842,0.21,1.00,8.53,BENDING_DOWN
855,-0.01,0.97,8.53,BENDING_DOWN
868,-0.35,0.76,8.57,BENDING_DOWN
881,-0.71,0.54,8.67,BENDING_DOWN
894,-0.97,0.40,8.89,BENDING_DOWN
907,-1.13,0.38,9.09,BENDING_DOWN
920,-1.30,0.39,9.21,BENDING_DOWN
933,-1.48,0.42,9.26,BENDING_DOWN
946,-1.68,0.41,9.29,BENDING_DOWN
959,-1.80,0.46,9.30,BENDING_DOWN
972,-1.84,0.55,9.18,BENDING_DOWN
985,-1.83,0.62,9.02,BENDING_DOWN
998,-1.83,0.72,8.89,BENDING_DOWN
1011,-1.79,0.80,8.78,BENDING_DOWN
1024,-1.70,0.93,8.67,BENDING_DOWN
1037,-1.53,1.11,8.68,BENDING_DOWN
1050,-1.41,1.22,8.77,BENDING_DOWN
1063,-1.36,1.24,8.90,BENDING_DOWN
1076,-1.36,1.24,9.03,BENDING_DOWN
1089,-1.35,1.26,9.16,BENDING_DOWN
1102,-1.27,1.23,9.27,BENDING_DOWN
1115,-1.22,1.19,9.36,BENDING_DOWN
1128,-1.17,1.14,9.48,BENDING_DOWN
1141,-1.19,1.07,9.59,BENDING_DOWN
1154,-1.15,1.03,9.72,BENDING_DOWN
1167,-1.15,1.03,9.80,BENDING_DOWN
1180,-1.09,1.08,9.88,BENDING_DOWN
1193,-1.01,1.11,10.08,BENDING_DOWN
1206,-0.91,1.04,10.25,BENDING_DOWN
1219,-0.78,0.90,10.37,BENDING_DOWN
1232,-0.68,0.74,10.46,BENDING_DOWN
1245,-0.56,0.88,10.48,BENDING_DOWN
1258,-0.38,1.32,10.43,BENDING_DOWN
1271,-0.10,1.51,10.55,BENDING_DOWN
1284,0.09,1.15,10.93,BENDING_DOWN
1297,0.07,0.64,11.18,BENDING_DOWN
1310,0.02,0.28,11.21,BENDING_DOWN
1323,-0.07,0.13,11.06,BENDING_DOWN
1336,-0.12,0.12,10.81,BENDING_DOWN
1349,-0.11,0.23,10.41,BENDING_DOWN
1362,0.05,0.32,10.06,BENDING_DOWN
1375,0.28,0.32,9.85,BENDING_DOWN
1388,0.38,0.08,9.90,BENDING_DOWN
1401,0.26,-0.16,10.01,BENDING_DOWN
1414,0.09,-0.30,10.10,BENDING_DOWN
1427,-0.15,-0.28,9.94,BENDING_DOWN
1440,-0.31,-0.16,9.50,BENDING_DOWN
1453,-0.40,0.01,9.09,BENDING_DOWN
1466,-0.37,0.18,8.75,BENDING_DOWN
1479,-0.38,0.38,8.52,BENDING_DOWN
1492,-0.49,0.64,8.45,BENDING_DOWN
1505,-0.64,0.79,8.55,BENDING_DOWN
1518,-0.90,0.79,8.80,BENDING_DOWN
1531,-1.12,0.70,9.08,BENDING_DOWN
1544,-1.32,0.45,9.45,BENDING_DOWN
1557,-1.44,0.20,9.81,BENDING_DOWN
1570,-1.52,0.04,9.97,BENDING_DOWN
1583,-1.54,0.09,9.93,BENDING_DOWN
1596,-1.49,0.20,9.83,BENDING_DOWN
1609,-1.32,0.38,9.67,BENDING_DOWN
1622,-0.97,0.56,9.49,BENDING_DOWN
1635,-0.58,0.68,9.24,BENDING_DOWN
1648,-0.26,0.75,9.06,BENDING_DOWN
1661,0.02,0.83,8.98,BENDING_DOWN
1674,0.23,0.91,8.97,BENDING_DOWN
1687,0.38,0.99,8.98,BENDING_DOWN
1712,0.63,0.97,9.20,BENDING_DOWN
1725,0.71,0.99,9.34,BENDING_DOWN
1738,0.73,1.03,9.49,BENDING_DOWN
1751,0.77,1.04,9.67,BENDING_DOWN
