TIME,X,Y,Z,ACTION
103,-0.32,0.09,9.86,BENDING_DOWN
166,-0.95,0.30,9.64,BENDING_DOWN
179,-0.89,0.24,9.62,BENDING_DOWN
192,-0.82,0.20,9.50,BENDING_DOWN
205,-0.74,0.20,9.44,BENDING_DOWN
218,-0.66,0.27,9.45,BENDING_DOWN
231,-0.56,0.34,9.55,BENDING_DOWN
244,-0.47,0.44,9.64,BENDING_DOWN
257,-0.32,0.50,9.59,BENDING_DOWN
270,-0.21,0.47,9.59,BENDING_DOWN
283,-0.15,0.41,9.63,BENDING_DOWN
296,-0.19,0.32,9.65,BENDING_DOWN
309,-0.25,0.26,9.65,BENDING_DOWN
322,-0.29,0.18,9.68,BENDING_DOWN
335,-0.35,0.17,9.73,BENDING_DOWN
348,-0.40,0.20,9.84,BENDING_DOWN
361,-0.41,0.28,9.92,BENDING_DOWN
374,-0.49,0.37,9.87,BENDING_DOWN
387,-0.58,0.45,9.85,BENDING_DOWN
400,-0.68,0.53,9.87,BENDING_DOWN
413,-0.71,0.59,9.84,BENDING_DOWN
426,-0.69,0.55,9.77,BENDING_DOWN
439,-0.58,0.34,9.73,BENDING_DOWN
452,-0.49,0.20,9.63,BENDING_DOWN
465,-0.34,0.18,9.59,BENDING_DOWN
478,-0.22,0.27,9.50,BENDING_DOWN
491,-0.26,0.34,9.24,BENDING_DOWN
504,-0.21,0.46,9.11,BENDING_DOWN
517,-0.15,0.61,8.98,BENDING_DOWN
530,-0.12,0.66,8.92,BENDING_DOWN
543,-0.13,0.68,8.88,BENDING_DOWN
556,-0.09,0.75,8.95,BENDING_DOWN
569,-0.14,0.81,9.08,BENDING_DOWN
582,-0.16,0.82,9.22,BENDING_DOWN
595,-0.21,0.79,9.33,BENDING_DOWN
608,-0.31,0.74,9.39,BENDING_DOWN
621,-0.41,0.66,9.49,BENDING_DOWN
634,-0.49,0.61,9.60,BENDING_DOWN
647,-0.56,0.64,9.64,BENDING_DOWN
660,-0.58,0.66,9.71,BENDING_DOWN
673,-0.57,0.64,9.77,BENDING_DOWN
686,-0.56,0.56,9.86,BENDING_DOWN
699,-0.62,0.49,9.88,BENDING_DOWN
712,-0.66,0.49,9.92,BENDING_DOWN
725,-0.69,0.42,9.85,BENDING_DOWN
738,-0.74,0.34,9.82,BENDING_DOWN
751,-0.81,0.27,9.79,BENDING_DOWN
764,-0.85,0.20,9.78,BENDING_DOWN
777,-0.84,0.23,9.80,BENDING_DOWN
790,-0.80,0.26,9.80,BENDING_DOWN
803,-0.80,0.32,9.75,BENDING_DOWN
816,-0.80,0.39,9.81,BENDING_DOWN
829,-0.89,0.43,9.90,BENDING_DOWN
842,-0.99,0.46,10.04,BENDING_DOWN
855,-1.13,0.47,10.10,BENDING_DOWN
868,-1.19,0.48,10.08,BENDING_DOWN
