TIME,X,Y,Z,ACTION
103,-0.16,-0.28,8.87,WALKING
166,0.08,-0.86,9.61,WALKING
179,0.17,-0.91,9.53,WALKING
192,0.28,-0.98,9.41,WALKING
208,0.34,-0.91,9.16,WALKING
221,0.50,-0.77,8.91,WALKING
234,0.71,-0.56,8.73,WALKING
247,0.82,-0.37,8.66,WALKING
260,0.84,-0.16,8.56,WALKING
273,0.86,0.02,8.50,WALKING
286,0.87,0.28,8.40,WALKING
299,0.87,0.51,8.40,WALKING
312,0.80,0.73,8.56,WALKING
325,0.68,0.87,8.73,WALKING
338,0.46,0.94,8.87,WALKING
351,0.06,0.99,8.98,WALKING
364,-0.33,0.98,9.01,WALKING
377,-0.69,0.95,9.05,WALKING
390,-0.98,0.93,9.01,WALKING
403,-1.12,0.98,8.94,WALKING
416,-1.05,1.06,8.87,WALKING
429,-1.44,1.10,9.73,WALKING
444,-2.15,1.45,11.02,WALKING
457,-2.74,2.54,11.83,WALKING
470,-2.72,3.53,10.82,WALKING
483,-2.07,3.60,8.25,WALKING
496,-1.54,3.07,8.32,WALKING
509,-0.43,1.64,9.58,WALKING
522,0.49,0.53,10.54,WALKING
535,0.88,0.30,11.05,WALKING
548,0.53,0.75,11.80,WALKING
561,0.11,1.13,12.20,WALKING
574,0.17,1.10,11.81,WALKING
587,0.33,0.71,10.94,WALKING
600,-0.02,0.22,9.71,WALKING
613,0.51,-0.09,9.05,WALKING
626,0.30,-0.16,8.77,WALKING
639,-0.14,-0.00,7.98,WALKING
652,0.54,-0.16,7.20,WALKING
665,0.78,-0.45,6.35,WALKING
680,1.22,-0.64,5.53,WALKING
693,1.65,-0.81,5.20,WALKING
706,1.93,-0.85,5.12,WALKING
719,2.23,-1.06,5.04,WALKING
732,2.70,-1.12,4.90,WALKING
745,3.04,-1.03,4.93,WALKING
758,3.42,-0.94,4.81,WALKING
771,3.83,-0.79,4.49,WALKING
784,4.26,-0.49,4.50,WALKING
797,4.57,-0.27,4.66,WALKING
810,4.74,-0.18,5.00,WALKING
823,4.97,-0.33,5.51,WALKING
836,5.21,-0.35,6.04,WALKING
849,5.67,-0.11,6.37,WALKING
862,6.24,0.11,6.42,WALKING
875,6.81,0.30,6.28,WALKING
888,7.42,0.44,6.08,WALKING
902,8.25,0.56,6.24,WALKING
915,8.45,0.57,6.53,WALKING
928,8.61,0.50,6.72,WALKING
941,8.93,0.56,7.11,WALKING
954,9.16,0.64,7.30,WALKING
967,9.53,0.78,7.27,WALKING
980,10.03,0.87,7.03,WALKING
993,10.25,0.76,6.80,WALKING
1006,10.35,0.66,6.77,WALKING
1019,11.03,0.80,7.07,WALKING
1032,11.36,0.85,7.15,WALKING
1045,11.90,0.85,7.21,WALKING
1058,12.58,0.61,7.14,WALKING
1071,13.35,0.23,6.97,WALKING
1084,14.00,0.09,6.75,WALKING
1097,14.29,0.16,6.70,WALKING
1110,14.27,0.38,6.61,WALKING
1123,14.12,0.53,6.43,WALKING
1138,14.06,0.60,6.19,WALKING
1151,14.02,0.53,5.96,WALKING
1164,13.62,0.53,5.68,WALKING
1177,13.42,0.58,5.32,WALKING
1190,13.17,0.71,5.08,WALKING
1203,12.55,0.92,4.82,WALKING
1216,11.99,1.02,4.59,WALKING
1229,11.65,1.16,4.32,WALKING
1242,11.76,1.08,4.21,WALKING
1255,11.78,1.17,3.79,WALKING
1268,11.36,1.12,3.34,WALKING
1281,11.91,1.45,3.44,WALKING
1294,11.62,1.66,3.25,WALKING
1307,11.24,1.86,3.12,WALKING
1320,10.90,2.06,2.99,WALKING
