TIME,X,Y,Z,ACTION
2178,-1.47,-1.14,10.60,WALKING
2191,-1.49,-1.30,10.60,WALKING
2204,-1.58,-1.42,10.58,WALKING
2219,-1.74,-1.50,10.54,WALKING
2232,-1.80,-1.52,10.58,WALKING
2245,-1.76,-1.46,10.55,WALKING
2258,-1.62,-1.36,10.55,WALKING
2271,-1.54,-1.33,10.41,WALKING
2284,-1.49,-1.26,10.13,WALKING
2297,-1.32,-1.20,9.88,WALKING
2310,-1.11,-1.17,9.64,WALKING
2323,-0.91,-1.07,9.39,WALKING
2336,-0.71,-1.01,9.08,WALKING
2349,-0.50,-0.88,8.81,WALKING
2362,-0.31,-0.76,8.50,WALKING
2375,-0.06,-0.62,8.27,WALKING
2388,0.16,-0.48,8.10,WALKING
2401,0.39,-0.34,8.02,WALKING
2414,0.58,-0.23,8.00,WALKING
2427,0.73,-0.20,8.06,WALKING
2442,0.94,-0.21,8.25,WALKING
2455,0.98,-0.32,8.45,WALKING
2468,0.90,-0.54,8.71,WALKING
2481,0.73,-0.83,8.98,WALKING
2494,0.60,-1.13,9.27,WALKING
2507,0.50,-1.36,9.59,WALKING
2520,0.46,-1.57,9.89,WALKING
2533,0.43,-1.79,10.05,WALKING
2546,0.55,-1.83,10.27,WALKING
2559,0.67,-1.62,10.45,WALKING
2572,0.65,-1.52,10.46,WALKING
2585,0.49,-1.40,10.59,WALKING
2598,0.21,-1.44,10.82,WALKING
2611,0.35,-1.47,11.29,WALKING
2624,0.33,-1.56,11.70,WALKING
2637,-0.16,-1.66,11.92,WALKING
2650,-0.68,-1.76,11.99,WALKING
2665,-1.01,-1.83,11.86,WALKING
2678,-1.12,-1.90,11.71,WALKING
2691,-1.12,-1.89,11.54,WALKING
2704,-1.05,-1.81,11.33,WALKING
2717,-0.98,-1.66,11.11,WALKING
2730,-0.96,-1.49,10.94,WALKING
2743,-1.05,-1.36,10.76,WALKING
2756,-1.26,-1.23,10.63,WALKING
2769,-1.46,-1.10,10.48,WALKING
2782,-1.62,-0.90,10.35,WALKING
2795,-1.72,-0.68,10.19,WALKING
2808,-1.73,-0.47,9.94,WALKING
2821,-1.67,-0.30,9.63,WALKING
2834,-1.60,-0.14,9.29,WALKING
2847,-1.57,-0.08,8.97,WALKING
2860,-1.54,-0.05,8.61,WALKING
2875,-1.43,0.02,8.31,WALKING
2888,-1.35,0.03,8.06,WALKING
2901,-1.25,0.02,7.84,WALKING
2914,-1.22,0.00,7.65,WALKING
2927,-1.19,-0.04,7.52,WALKING
2940,-1.05,-0.06,7.45,WALKING
2953,-0.97,-0.02,7.46,WALKING
2966,-0.95,0.01,7.54,WALKING
2979,-0.87,0.10,7.61,WALKING
2992,-0.83,0.18,7.77,WALKING
3005,-0.75,0.27,7.96,WALKING
3018,-0.61,0.29,8.21,WALKING
3031,-0.50,0.22,8.48,WALKING
3044,-0.48,0.12,8.66,WALKING
3057,-0.31,0.21,8.84,WALKING
3070,-0.24,0.30,9.02,WALKING
3083,-0.23,0.28,9.22,WALKING
3098,-0.09,0.46,9.58,WALKING
3111,0.09,0.60,10.03,WALKING
3124,0.13,0.55,10.45,WALKING
3137,-0.13,0.30,10.86,WALKING
3150,-0.48,0.04,11.13,WALKING
3163,-0.89,-0.28,11.29,WALKING
3176,-1.32,-0.59,11.26,WALKING
3189,-1.64,-0.91,11.20,WALKING
3202,-1.90,-1.14,11.07,WALKING
3215,-2.07,-1.36,10.87,WALKING
3228,-2.07,-1.40,10.68,WALKING
3241,-1.90,-1.34,10.46,WALKING
3254,-1.67,-1.19,10.28,WALKING
3267,-1.58,-1.02,10.09,WALKING
3280,-1.29,-0.80,9.91,WALKING
3293,-0.97,-0.60,9.68,WALKING
3308,-0.66,-0.42,9.37,WALKING
3321,-0.38,-0.26,9.10,WALKING
3334,-0.10,-0.16,8.82,WALKING
3347,0.16,-0.08,8.58,WALKING
3360,0.42,-0.03,8.41,WALKING
3373,0.70,-0.03,8.24,WALKING
3386,0.97,0.02,8.17,WALKING
3399,1.13,-0.06,8.20,WALKING
3412,1.23,-0.17,8.26,WALKING
3425,1.31,-0.29,8.40,WALKING
3438,1.30,-0.41,8.64,WALKING
3451,1.24,-0.62,8.91,WALKING
3464,1.17,-0.87,9.18,WALKING
3477,1.02,-1.11,9.44,WALKING
3490,0.86,-1.36,9.75,WALKING
3503,0.73,-1.54,10.03,WALKING
3516,0.80,-1.60,10.29,WALKING
3531,0.96,-1.61,10.57,WALKING
3544,1.07,-1.59,10.70,WALKING
3557,1.18,-1.57,10.72,WALKING
3570,1.27,-1.49,10.79,WALKING
3583,1.40,-1.36,10.84,WALKING
3596,1.29,-1.31,10.80,WALKING
3609,1.08,-1.24,10.86,WALKING
3622,0.88,-1.17,11.01,WALKING
3635,0.92,-1.12,11.27,WALKING
3648,0.91,-1.20,11.57,WALKING
3661,0.62,-1.36,11.81,WALKING
3674,0.25,-1.56,11.90,WALKING
3687,-0.17,-1.86,11.75,WALKING
3700,-0.46,-2.13,11.58,WALKING
3713,-0.60,-2.27,11.33,WALKING
3726,-0.56,-2.21,11.02,WALKING
3741,-0.49,-2.06,10.67,WALKING
3754,-0.34,-1.95,10.44,WALKING
3767,-0.40,-1.92,10.23,WALKING
3780,-0.70,-1.93,10.13,WALKING
3793,-0.99,-1.92,10.03,WALKING
3806,-1.26,-1.85,9.99,WALKING
3819,-1.52,-1.74,9.81,WALKING
3832,-1.61,-1.59,9.68,WALKING
3845,-1.54,-1.48,9.39,WALKING
3858,-1.52,-1.43,9.05,WALKING
3871,-1.53,-1.40,8.58,WALKING
