TIME,X,Y,Z,ACTION
103,-0.27,-0.86,9.30,FALLING_BACKWARDS
166,0.14,-0.91,9.39,FALLING_BACKWARDS
179,0.17,-0.90,9.37,FALLING_BACKWARDS
192,0.20,-0.87,9.31,FALLING_BACKWARDS
205,0.18,-0.88,9.24,FALLING_BACKWARDS
218,0.19,-0.87,9.28,FALLING_BACKWARDS
231,0.14,-0.86,9.35,FALLING_BACKWARDS
244,0.03,-0.83,9.41,FALLING_BACKWARDS
257,0.00,-0.74,9.54,FALLING_BACKWARDS
270,0.00,-0.65,9.61,FALLING_BACKWARDS
283,-0.01,-0.46,9.63,FALLING_BACKWARDS
296,-0.06,-0.44,9.66,FALLING_BACKWARDS
309,-0.10,-0.48,9.68,FALLING_BACKWARDS
322,-0.12,-0.55,9.65,FALLING_BACKWARDS
335,-0.14,-0.70,9.65,FALLING_BACKWARDS
348,-0.13,-0.78,9.75,FALLING_BACKWARDS
361,-0.16,-0.74,9.82,FALLING_BACKWARDS
374,-0.22,-0.67,9.85,FALLING_BACKWARDS
387,-0.31,-0.64,9.81,FALLING_BACKWARDS
400,-0.33,-0.62,9.75,FALLING_BACKWARDS
413,-0.32,-0.66,9.71,FALLING_BACKWARDS
426,-0.26,-0.66,9.69,FALLING_BACKWARDS
439,-0.16,-0.66,9.65,FALLING_BACKWARDS
452,-0.02,-0.66,9.55,FALLING_BACKWARDS
465,-0.00,-0.87,9.62,FALLING_BACKWARDS
478,0.45,-0.83,9.32,FALLING_BACKWARDS
491,0.75,-0.72,9.17,FALLING_BACKWARDS
504,0.88,-0.62,8.96,FALLING_BACKWARDS
517,1.03,-0.59,8.83,FALLING_BACKWARDS
530,1.02,-0.59,8.84,FALLING_BACKWARDS
543,0.91,-0.69,9.00,FALLING_BACKWARDS
556,0.76,-0.84,9.25,FALLING_BACKWARDS
569,0.58,-1.07,9.47,FALLING_BACKWARDS
582,0.33,-1.19,9.57,FALLING_BACKWARDS
595,0.18,-1.24,9.60,FALLING_BACKWARDS
608,0.08,-1.19,9.55,FALLING_BACKWARDS
621,-0.05,-1.10,9.48,FALLING_BACKWARDS
634,-0.13,-1.01,9.40,FALLING_BACKWARDS
647,-0.19,-0.92,9.34,FALLING_BACKWARDS
660,-0.20,-0.81,9.37,FALLING_BACKWARDS
673,-0.20,-0.71,9.40,FALLING_BACKWARDS
686,-0.24,-0.59,9.45,FALLING_BACKWARDS
699,-0.29,-0.59,9.39,FALLING_BACKWARDS
712,-0.41,-0.53,9.41,FALLING_BACKWARDS
725,-0.58,-0.46,9.54,FALLING_BACKWARDS
738,-0.76,-0.44,9.76,FALLING_BACKWARDS
751,-0.83,-0.51,9.97,FALLING_BACKWARDS
764,-0.83,-0.67,10.01,FALLING_BACKWARDS
777,-0.75,-0.82,9.99,FALLING_BACKWARDS
790,-0.60,-0.90,9.86,FALLING_BACKWARDS
803,-0.43,-1.00,9.64,FALLING_BACKWARDS
816,-0.41,-1.07,9.56,FALLING_BACKWARDS
829,-0.31,-1.13,9.67,FALLING_BACKWARDS
842,-0.30,-1.30,9.64,FALLING_BACKWARDS
855,-0.35,-1.41,9.26,FALLING_BACKWARDS
868,-0.30,-1.13,8.86,FALLING_BACKWARDS
881,-0.35,-0.80,8.54,FALLING_BACKWARDS
894,-0.48,-0.79,8.34,FALLING_BACKWARDS
907,-0.50,-0.80,8.27,FALLING_BACKWARDS
920,-0.37,-0.71,7.69,FALLING_BACKWARDS
933,-0.15,-0.46,7.06,FALLING_BACKWARDS
946,0.11,-0.27,6.77,FALLING_BACKWARDS
959,0.26,-0.01,6.87,FALLING_BACKWARDS
972,0.08,-0.05,7.26,FALLING_BACKWARDS
985,-0.32,-0.50,7.48,FALLING_BACKWARDS
998,-0.66,-1.02,7.21,FALLING_BACKWARDS
1011,-0.70,-1.19,6.77,FALLING_BACKWARDS
1024,-0.51,-1.05,6.40,FALLING_BACKWARDS
1037,-0.28,-0.82,5.94,FALLING_BACKWARDS
1050,-0.01,-0.52,5.40,FALLING_BACKWARDS
1063,0.36,-0.15,4.93,FALLING_BACKWARDS
1076,0.53,0.04,4.83,FALLING_BACKWARDS
1089,0.46,-0.37,5.54,FALLING_BACKWARDS
1102,0.17,-0.09,6.93,FALLING_BACKWARDS
1115,0.08,0.26,8.23,FALLING_BACKWARDS
1128,-0.15,0.23,8.46,FALLING_BACKWARDS
1141,-0.61,-0.23,8.78,FALLING_BACKWARDS
