TIME,X,Y,Z,ACTION
103,-0.42,-0.12,9.32,BENDING_DOWN
166,-0.69,-0.02,9.74,BENDING_DOWN
179,-0.75,0.01,9.85,BENDING_DOWN
192,-0.72,0.02,9.75,BENDING_DOWN
205,-0.62,-0.10,9.65,BENDING_DOWN
218,-0.54,-0.15,9.60,BENDING_DOWN
231,-0.53,-0.07,9.55,BENDING_DOWN
244,-0.57,0.07,9.48,BENDING_DOWN
257,-0.63,0.20,9.51,BENDING_DOWN
270,-0.68,0.19,9.63,BENDING_DOWN
283,-0.72,0.18,9.59,BENDING_DOWN
296,-0.66,0.20,9.48,BENDING_DOWN
309,-0.61,0.17,9.34,BENDING_DOWN
322,-0.55,0.20,9.30,BENDING_DOWN
335,-0.55,0.26,9.29,BENDING_DOWN
348,-0.59,0.28,9.42,BENDING_DOWN
361,-0.72,0.27,9.56,BENDING_DOWN
374,-0.84,0.22,9.65,BENDING_DOWN
387,-0.95,0.24,9.67,BENDING_DOWN
400,-1.06,0.29,9.68,BENDING_DOWN
413,-1.10,0.37,9.63,BENDING_DOWN
426,-1.08,0.47,9.58,BENDING_DOWN
439,-1.01,0.57,9.57,BENDING_DOWN
452,-0.95,0.61,9.57,BENDING_DOWN
465,-0.92,0.60,9.66,BENDING_DOWN
478,-0.87,0.55,9.88,BENDING_DOWN
491,-0.79,0.47,10.02,BENDING_DOWN
504,-0.74,0.44,10.12,BENDING_DOWN
517,-0.63,0.48,10.07,BENDING_DOWN
530,-0.52,0.55,9.87,BENDING_DOWN
543,-0.35,0.56,9.62,BENDING_DOWN
556,-0.17,0.58,9.47,BENDING_DOWN
569,-0.01,0.59,9.35,BENDING_DOWN
582,0.04,0.57,9.33,BENDING_DOWN
595,0.12,0.56,9.26,BENDING_DOWN
608,0.16,0.50,9.17,BENDING_DOWN
621,0.15,0.49,9.13,BENDING_DOWN
634,0.11,0.47,9.18,BENDING_DOWN
647,0.04,0.46,9.25,BENDING_DOWN
660,-0.08,0.51,9.39,BENDING_DOWN
673,-0.21,0.51,9.56,BENDING_DOWN
686,-0.29,0.42,9.73,BENDING_DOWN
699,-0.36,0.36,9.65,BENDING_DOWN
712,-0.38,0.45,9.47,BENDING_DOWN
725,-0.35,0.44,9.46,BENDING_DOWN
738,-0.29,0.39,9.57,BENDING_DOWN
751,-0.34,0.30,9.66,BENDING_DOWN
764,-0.45,0.30,9.63,BENDING_DOWN
777,-0.51,0.37,9.57,BENDING_DOWN
790,-0.52,0.41,9.35,BENDING_DOWN
803,-0.44,0.23,9.14,BENDING_DOWN
816,-0.36,-0.02,9.06,BENDING_DOWN
829,-0.30,-0.15,9.01,BENDING_DOWN
842,-0.33,-0.20,8.81,BENDING_DOWN
855,-0.34,-0.19,8.49,BENDING_DOWN
868,-0.32,-0.08,8.08,BENDING_DOWN
881,-0.25,0.12,7.63,BENDING_DOWN
894,-0.19,0.39,7.22,BENDING_DOWN
907,-0.08,0.63,6.92,BENDING_DOWN
920,0.10,0.86,6.78,BENDING_DOWN
933,0.10,0.82,6.70,BENDING_DOWN
946,0.13,0.61,6.88,BENDING_DOWN
959,0.06,0.37,7.10,BENDING_DOWN
972,-0.00,0.22,7.32,BENDING_DOWN
985,-0.19,0.23,7.42,BENDING_DOWN
998,-0.32,0.38,7.45,BENDING_DOWN
1011,-0.46,0.52,7.14,BENDING_DOWN
1024,-0.45,0.43,6.91,BENDING_DOWN
1037,-0.41,0.22,6.80,BENDING_DOWN
1050,-0.35,-0.03,6.84,BENDING_DOWN
1063,-0.16,-0.13,6.95,BENDING_DOWN
1076,-0.20,-0.18,6.99,BENDING_DOWN
1089,-0.31,-0.09,6.95,BENDING_DOWN
1102,-0.44,0.00,6.90,BENDING_DOWN
1115,-0.50,0.03,6.93,BENDING_DOWN
1128,-0.52,0.00,7.14,BENDING_DOWN
1141,-0.40,-0.02,7.37,BENDING_DOWN
1154,-0.42,-0.05,7.60,BENDING_DOWN
1167,-0.57,-0.14,7.81,BENDING_DOWN
1180,-0.68,-0.41,8.06,BENDING_DOWN
1193,-0.72,-0.61,8.46,BENDING_DOWN
1206,-0.71,-0.63,8.86,BENDING_DOWN
1219,-0.79,-0.62,9.10,BENDING_DOWN
1232,-0.96,-0.72,9.12,BENDING_DOWN
1245,-0.95,-0.95,9.05,BENDING_DOWN
1258,-0.84,-1.28,9.24,BENDING_DOWN
1271,-0.77,-1.57,9.65,BENDING_DOWN
1284,-0.75,-1.67,10.20,BENDING_DOWN
1297,-0.92,-1.74,10.50,BENDING_DOWN
1310,-1.08,-1.76,10.51,BENDING_DOWN
1323,-1.14,-1.85,10.09,BENDING_DOWN
1336,-1.04,-1.98,9.50,BENDING_DOWN
1349,-0.86,-2.11,8.98,BENDING_DOWN
1362,-0.62,-2.15,8.60,BENDING_DOWN
1375,-0.43,-2.08,8.50,BENDING_DOWN
1388,-0.21,-1.90,8.52,BENDING_DOWN
1401,-0.06,-1.64,8.68,BENDING_DOWN
1414,0.10,-1.55,8.92,BENDING_DOWN
1427,0.05,-1.61,8.89,BENDING_DOWN
1440,-0.01,-1.74,8.91,BENDING_DOWN
1453,-0.14,-1.90,9.25,BENDING_DOWN
1466,-0.14,-1.94,9.44,BENDING_DOWN
1479,0.06,-1.87,9.45,BENDING_DOWN
1492,0.31,-1.92,9.30,BENDING_DOWN
1505,0.56,-2.03,9.26,BENDING_DOWN
1518,0.68,-2.01,9.39,BENDING_DOWN
1531,0.65,-1.96,9.85,BENDING_DOWN
1544,0.56,-1.92,10.58,BENDING_DOWN
1557,0.43,-1.96,11.27,BENDING_DOWN
1570,0.18,-2.12,11.78,BENDING_DOWN
1583,-0.15,-2.24,12.16,BENDING_DOWN
1596,-0.46,-2.43,12.54,BENDING_DOWN
1609,-0.58,-2.58,12.50,BENDING_DOWN
1622,-0.51,-2.60,12.37,BENDING_DOWN
1635,-0.46,-2.56,12.35,BENDING_DOWN
1648,-0.37,-2.46,12.30,BENDING_DOWN
1661,-0.28,-2.47,12.28,BENDING_DOWN
1686,-0.23,-2.42,12.25,BENDING_DOWN
1699,-0.31,-2.39,12.19,BENDING_DOWN
1712,-0.32,-2.47,12.27,BENDING_DOWN
1725,-0.25,-2.48,12.29,BENDING_DOWN
1738,-0.25,-2.47,12.44,BENDING_DOWN
1751,-0.19,-2.43,12.47,BENDING_DOWN
1764,-0.00,-2.39,12.61,BENDING_DOWN
1777,0.16,-2.36,12.68,BENDING_DOWN
1790,0.31,-2.37,12.67,BENDING_DOWN
1803,0.38,-2.37,12.56,BENDING_DOWN
1816,0.44,-2.38,12.57,BENDING_DOWN
1829,0.50,-2.40,12.79,BENDING_DOWN
1842,0.50,-2.38,13.06,BENDING_DOWN
1855,0.29,-2.39,13.42,BENDING_DOWN
1868,0.14,-2.47,13.86,BENDING_DOWN
1881,0.12,-2.48,14.18,BENDING_DOWN
1894,0.20,-2.53,14.30,BENDING_DOWN
1907,0.37,-2.67,14.20,BENDING_DOWN
1920,0.46,-2.87,14.12,BENDING_DOWN
1933,0.52,-2.93,14.07,BENDING_DOWN
1946,0.53,-2.76,14.16,BENDING_DOWN
1959,0.55,-2.66,14.16,BENDING_DOWN
1972,0.64,-2.70,14.07,BENDING_DOWN
1985,0.70,-2.79,13.99,BENDING_DOWN
1998,0.78,-2.81,14.01,BENDING_DOWN
2011,0.82,-2.69,13.97,BENDING_DOWN
2024,0.87,-2.64,13.98,BENDING_DOWN
2037,1.02,-2.75,14.02,BENDING_DOWN
2050,1.17,-2.87,13.96,BENDING_DOWN
2063,1.30,-2.92,13.72,BENDING_DOWN
2076,1.40,-2.89,13.30,BENDING_DOWN
2089,1.40,-2.75,12.82,BENDING_DOWN
2102,1.29,-2.60,12.48,BENDING_DOWN
2115,1.13,-2.49,12.52,BENDING_DOWN
2128,1.00,-2.46,12.73,BENDING_DOWN
2141,0.98,-2.52,12.95,BENDING_DOWN
2154,1.01,-2.59,13.00,BENDING_DOWN
2167,1.04,-2.64,12.76,BENDING_DOWN
2180,0.98,-2.68,12.41,BENDING_DOWN
2193,0.87,-2.70,12.11,BENDING_DOWN
2206,0.76,-2.65,12.02,BENDING_DOWN
2219,0.68,-2.45,11.84,BENDING_DOWN
2232,0.63,-2.17,11.64,BENDING_DOWN
2245,0.66,-2.05,11.46,BENDING_DOWN
2258,0.71,-2.07,11.25,BENDING_DOWN
2271,0.75,-2.06,10.92,BENDING_DOWN
2284,0.72,-1.89,10.62,BENDING_DOWN
2297,0.58,-1.77,10.49,BENDING_DOWN
2310,0.32,-1.70,10.52,BENDING_DOWN
2323,0.15,-1.61,10.42,BENDING_DOWN
2336,0.04,-1.65,10.09,BENDING_DOWN
2349,0.01,-1.77,9.56,BENDING_DOWN
2362,0.05,-1.77,9.00,BENDING_DOWN
2375,0.03,-1.70,8.37,BENDING_DOWN
2388,-0.05,-1.70,8.07,BENDING_DOWN
2401,-0.25,-1.67,8.02,BENDING_DOWN
2414,-0.38,-1.47,7.96,BENDING_DOWN
2427,-0.47,-1.29,7.91,BENDING_DOWN
2440,-0.57,-1.18,7.81,BENDING_DOWN
2453,-0.63,-1.05,7.56,BENDING_DOWN
2466,-0.68,-0.94,7.23,BENDING_DOWN
2479,-0.76,-0.93,7.01,BENDING_DOWN
2492,-0.87,-1.02,6.93,BENDING_DOWN
2505,-1.04,-0.98,7.02,BENDING_DOWN
2518,-1.07,-0.83,7.05,BENDING_DOWN
2531,-1.07,-0.68,7.07,BENDING_DOWN
2544,-1.05,-0.62,7.24,BENDING_DOWN
2557,-1.09,-0.52,7.31,BENDING_DOWN
2570,-1.11,-0.59,7.23,BENDING_DOWN
2583,-1.11,-0.75,7.07,BENDING_DOWN
2596,-1.14,-0.78,6.92,BENDING_DOWN
2609,-1.24,-0.82,6.80,BENDING_DOWN
2622,-1.27,-0.76,6.86,BENDING_DOWN
2635,-1.35,-0.72,6.95,BENDING_DOWN
2648,-1.33,-0.53,7.05,BENDING_DOWN
2661,-1.33,-0.47,7.12,BENDING_DOWN
2674,-1.16,-0.43,7.09,BENDING_DOWN
2687,-0.99,-0.47,6.98,BENDING_DOWN
2700,-0.79,-0.40,6.68,BENDING_DOWN
2713,-0.71,-0.40,6.54,BENDING_DOWN
2726,-0.75,-0.39,6.43,BENDING_DOWN
2739,-0.71,-0.27,6.48,BENDING_DOWN
2752,-0.63,0.00,6.59,BENDING_DOWN
2765,-0.47,0.28,6.79,BENDING_DOWN
2778,-0.22,0.54,7.03,BENDING_DOWN
2791,-0.00,0.76,7.21,BENDING_DOWN
2804,0.38,1.00,6.69,BENDING_DOWN
2817,0.40,0.88,7.00,BENDING_DOWN
2830,0.24,0.79,7.38,BENDING_DOWN
2843,0.19,0.92,7.89,BENDING_DOWN
2856,0.20,1.18,8.36,BENDING_DOWN
2869,0.20,1.42,8.64,BENDING_DOWN
2882,0.34,1.46,8.82,BENDING_DOWN
2895,0.51,1.32,8.76,BENDING_DOWN
2908,0.66,1.07,8.63,BENDING_DOWN
2921,0.76,0.87,8.58,BENDING_DOWN
2934,0.79,0.87,8.61,BENDING_DOWN
2947,0.84,1.01,8.66,BENDING_DOWN
2960,0.82,1.03,8.85,BENDING_DOWN
2973,0.83,1.10,9.12,BENDING_DOWN
2986,0.76,1.11,9.42,BENDING_DOWN
2999,0.73,1.14,9.62,BENDING_DOWN
3012,0.73,1.09,9.74,BENDING_DOWN
3025,0.77,0.91,9.87,BENDING_DOWN
3038,0.74,0.71,10.04,BENDING_DOWN
3051,0.76,0.70,10.04,BENDING_DOWN
3064,0.76,0.70,9.98,BENDING_DOWN
3077,0.75,0.83,9.79,BENDING_DOWN
3090,0.73,1.25,9.73,BENDING_DOWN
3103,0.80,1.48,9.92,BENDING_DOWN
3116,1.02,1.48,10.33,BENDING_DOWN
3129,1.24,1.21,10.79,BENDING_DOWN
3142,1.11,0.66,11.23,BENDING_DOWN
3155,0.64,-0.03,11.48,BENDING_DOWN
3168,0.08,-0.52,11.47,BENDING_DOWN
3181,-0.39,-0.68,11.23,BENDING_DOWN
3203,-0.53,-0.61,10.63,BENDING_DOWN
3216,-0.30,-0.45,10.29,BENDING_DOWN
3229,-0.17,-0.34,9.95,BENDING_DOWN
3242,-0.05,-0.11,9.63,BENDING_DOWN
3255,-0.04,0.16,9.32,BENDING_DOWN
3268,-0.01,0.33,9.04,BENDING_DOWN
3281,-0.12,0.28,8.95,BENDING_DOWN
3294,-0.34,0.21,9.20,BENDING_DOWN
3307,-0.47,0.20,9.37,BENDING_DOWN
3320,-0.48,0.21,9.45,BENDING_DOWN
3333,-0.53,0.14,9.47,BENDING_DOWN
3346,-0.70,0.10,9.35,BENDING_DOWN
3359,-0.91,0.23,9.18,BENDING_DOWN
3372,-1.12,0.36,8.93,BENDING_DOWN
3385,-1.26,0.44,8.71,BENDING_DOWN
3398,-1.30,0.39,8.52,BENDING_DOWN
3411,-1.43,0.30,8.41,BENDING_DOWN
3424,-1.53,0.28,8.33,BENDING_DOWN
3437,-1.62,0.44,8.42,BENDING_DOWN
3450,-1.58,0.81,8.46,BENDING_DOWN
3463,-1.44,1.23,8.36,BENDING_DOWN
3476,-1.30,1.52,8.23,BENDING_DOWN
3489,-1.22,1.57,8.11,BENDING_DOWN
3502,-1.18,1.47,7.99,BENDING_DOWN
3515,-1.11,1.29,8.05,BENDING_DOWN
3528,-0.93,1.19,8.21,BENDING_DOWN
3541,-0.78,1.21,8.48,BENDING_DOWN
3554,-0.66,1.24,8.79,BENDING_DOWN
3567,-0.72,1.15,9.15,BENDING_DOWN
3580,-0.92,1.07,9.61,BENDING_DOWN
3593,-1.08,1.11,9.92,BENDING_DOWN
3606,-1.21,1.13,10.23,BENDING_DOWN
3619,-1.31,1.07,10.58,BENDING_DOWN
3632,-1.32,1.18,10.88,BENDING_DOWN
3645,-1.20,1.13,11.17,BENDING_DOWN
3658,-1.03,0.82,11.56,BENDING_DOWN
3671,-0.91,0.44,11.89,BENDING_DOWN
3684,-0.90,0.14,11.99,BENDING_DOWN
3697,-0.93,-0.01,11.85,BENDING_DOWN
3710,-1.07,-0.13,11.53,BENDING_DOWN
3723,-1.19,-0.28,11.12,BENDING_DOWN
3736,-1.29,-0.30,10.69,BENDING_DOWN
3749,-1.36,-0.22,10.33,BENDING_DOWN
3762,-1.41,-0.13,9.97,BENDING_DOWN
3775,-1.44,-0.03,9.66,BENDING_DOWN
3788,-1.36,0.17,9.44,BENDING_DOWN
3801,-1.20,0.42,9.27,BENDING_DOWN
3814,-1.06,0.62,9.12,BENDING_DOWN
3827,-0.86,0.79,9.03,BENDING_DOWN
3840,-0.66,0.77,9.04,BENDING_DOWN
3853,-0.51,0.65,9.16,BENDING_DOWN
3866,-0.32,0.44,9.30,BENDING_DOWN
3879,-0.10,0.21,9.42,BENDING_DOWN
3892,0.04,-0.01,9.41,BENDING_DOWN
3905,0.13,-0.25,9.40,BENDING_DOWN
3918,0.23,-0.36,9.42,BENDING_DOWN
3931,0.32,-0.30,9.40,BENDING_DOWN
3944,0.38,-0.19,9.33,BENDING_DOWN
3957,0.44,-0.12,9.13,BENDING_DOWN
3970,0.51,-0.06,8.99,BENDING_DOWN
3983,0.61,-0.00,8.82,BENDING_DOWN
3996,0.71,-0.01,8.74,BENDING_DOWN
4009,0.79,0.03,8.60,BENDING_DOWN
4022,0.86,0.14,8.57,BENDING_DOWN
4035,0.92,0.32,8.54,BENDING_DOWN
4048,0.93,0.48,8.60,BENDING_DOWN
4061,0.93,0.60,8.73,BENDING_DOWN
4074,0.94,0.74,8.89,BENDING_DOWN
4087,1.05,0.91,9.13,BENDING_DOWN
4100,1.12,1.02,9.41,BENDING_DOWN
4113,1.28,0.98,9.60,BENDING_DOWN
4126,1.40,0.82,9.74,BENDING_DOWN
4139,1.51,0.91,9.69,BENDING_DOWN
4152,1.57,1.33,9.65,BENDING_DOWN
4165,1.52,1.59,9.86,BENDING_DOWN
4178,1.37,1.59,10.13,BENDING_DOWN
4191,1.18,1.41,10.47,BENDING_DOWN
4204,0.92,0.91,10.95,BENDING_DOWN
4217,0.71,0.18,11.57,BENDING_DOWN
4230,0.47,-0.54,12.05,BENDING_DOWN
4243,0.31,-0.94,12.17,BENDING_DOWN
4256,0.23,-0.98,11.87,BENDING_DOWN
4269,0.29,-0.76,11.36,BENDING_DOWN
4282,0.38,-0.48,10.71,BENDING_DOWN
4295,0.56,-0.23,10.05,BENDING_DOWN
4308,0.75,0.07,9.52,BENDING_DOWN
4321,0.88,0.25,9.35,BENDING_DOWN
4334,0.86,0.39,9.34,BENDING_DOWN
4347,0.70,0.52,9.34,BENDING_DOWN
4360,0.61,0.51,9.25,BENDING_DOWN
4373,0.42,0.34,9.04,BENDING_DOWN
4386,0.27,0.25,8.90,BENDING_DOWN
4399,0.06,0.34,8.77,BENDING_DOWN
4412,-0.21,0.38,8.61,BENDING_DOWN
4425,-0.45,0.27,8.59,BENDING_DOWN
4438,-0.64,0.25,8.65,BENDING_DOWN
