TIME,X,Y,Z,ACTION
103,0.23,0.24,9.02,HAND_WAVING
166,0.19,0.25,8.98,HAND_WAVING
179,0.20,0.27,9.14,HAND_WAVING
192,0.20,0.27,9.24,HAND_WAVING
205,0.25,0.29,9.37,HAND_WAVING
218,0.25,0.26,9.31,HAND_WAVING
231,0.30,0.24,9.26,HAND_WAVING
244,0.29,0.27,9.39,HAND_WAVING
257,0.23,0.33,9.50,HAND_WAVING
270,0.15,0.37,9.63,HAND_WAVING
283,0.07,0.40,9.77,HAND_WAVING
296,-0.07,0.34,9.83,HAND_WAVING
309,-0.25,0.26,9.86,HAND_WAVING
322,-0.37,0.25,9.90,HAND_WAVING
335,-0.51,0.26,9.94,HAND_WAVING
348,-0.65,0.25,9.96,HAND_WAVING
361,-0.80,0.20,9.97,HAND_WAVING
374,-1.03,0.17,10.12,HAND_WAVING
387,-1.37,0.13,10.61,HAND_WAVING
400,-1.48,0.30,10.52,HAND_WAVING
413,-1.37,0.48,10.20,HAND_WAVING
426,-1.30,0.58,10.09,HAND_WAVING
439,-1.40,0.87,9.92,HAND_WAVING
452,-1.67,1.27,9.75,HAND_WAVING
465,-2.12,1.72,9.83,HAND_WAVING
478,-2.44,1.95,10.16,HAND_WAVING
491,-1.65,1.79,9.14,HAND_WAVING
504,-1.13,1.08,8.11,HAND_WAVING
517,-1.05,0.22,8.01,HAND_WAVING
530,-0.97,-0.24,9.31,HAND_WAVING
543,-0.69,-0.10,10.53,HAND_WAVING
556,-0.29,0.27,10.58,HAND_WAVING
569,0.15,0.41,10.12,HAND_WAVING
582,0.52,0.35,9.65,HAND_WAVING
595,0.60,0.34,9.55,HAND_WAVING
608,0.89,0.39,9.96,HAND_WAVING
621,0.77,0.84,11.22,HAND_WAVING
634,1.17,1.03,11.87,HAND_WAVING
647,1.18,0.80,11.76,HAND_WAVING
660,1.23,0.74,11.09,HAND_WAVING
673,1.38,1.21,10.98,HAND_WAVING
686,1.87,2.72,10.66,HAND_WAVING
699,3.01,3.21,10.56,HAND_WAVING
712,4.01,3.27,10.70,HAND_WAVING
725,4.47,3.40,11.05,HAND_WAVING
738,5.05,3.34,11.72,HAND_WAVING
751,5.42,3.39,12.07,HAND_WAVING
764,5.63,3.40,12.24,HAND_WAVING
777,5.55,3.39,12.39,HAND_WAVING
790,5.28,3.45,12.45,HAND_WAVING
803,5.24,3.56,12.24,HAND_WAVING
816,5.32,3.67,11.97,HAND_WAVING
829,5.31,3.74,11.94,HAND_WAVING
842,5.29,3.79,12.21,HAND_WAVING
855,5.40,3.92,12.33,HAND_WAVING
868,4.74,4.17,12.40,HAND_WAVING
881,4.93,4.19,12.37,HAND_WAVING
894,4.53,4.56,12.27,HAND_WAVING
907,3.83,4.84,12.53,HAND_WAVING
920,3.35,4.98,12.32,HAND_WAVING
933,3.17,4.96,12.09,HAND_WAVING
946,3.18,5.00,12.08,HAND_WAVING
959,3.24,5.11,12.12,HAND_WAVING
972,3.39,5.27,12.10,HAND_WAVING
985,3.65,5.43,11.98,HAND_WAVING
998,3.43,5.66,11.80,HAND_WAVING
1011,2.70,6.02,11.46,HAND_WAVING
1024,2.00,6.39,11.28,HAND_WAVING
1037,1.56,6.73,10.90,HAND_WAVING
1050,1.04,7.00,10.70,HAND_WAVING
1063,0.82,6.84,10.34,HAND_WAVING
1076,0.39,7.42,9.66,HAND_WAVING
1089,-0.33,7.39,9.09,HAND_WAVING
1102,-0.20,7.49,8.82,HAND_WAVING
1115,0.02,7.39,8.68,HAND_WAVING
1128,0.03,7.36,8.57,HAND_WAVING
1141,-0.53,7.72,8.41,HAND_WAVING
1154,-1.07,7.65,8.04,HAND_WAVING
1167,-1.15,7.65,7.52,HAND_WAVING
1180,-0.88,7.35,7.04,HAND_WAVING
1193,-0.65,7.10,6.81,HAND_WAVING
1206,-0.98,6.82,6.64,HAND_WAVING
1219,-1.33,6.44,6.50,HAND_WAVING
1232,-1.73,5.91,6.00,HAND_WAVING
1245,-2.01,5.53,5.51,HAND_WAVING
1258,-2.40,5.15,4.91,HAND_WAVING
1271,-2.83,4.50,4.53,HAND_WAVING
1284,-2.95,3.65,4.13,HAND_WAVING
1297,-3.24,3.84,3.93,HAND_WAVING
1310,-4.14,3.23,3.58,HAND_WAVING
1323,-4.40,2.63,3.21,HAND_WAVING
1336,-4.31,2.30,3.06,HAND_WAVING
1349,-4.36,1.86,2.87,HAND_WAVING
1362,-4.73,1.49,2.76,HAND_WAVING
1375,-5.23,1.16,2.50,HAND_WAVING
1388,-5.83,0.94,2.25,HAND_WAVING
1401,-6.27,0.70,1.94,HAND_WAVING
1414,-6.73,0.46,1.58,HAND_WAVING
1427,-7.30,0.17,1.22,HAND_WAVING
1440,-7.81,-0.04,0.88,HAND_WAVING
1453,-8.15,-0.30,0.57,HAND_WAVING
1466,-8.38,-0.48,0.15,HAND_WAVING
1479,-8.76,-0.39,-0.35,HAND_WAVING
1492,-9.22,-0.38,-0.66,HAND_WAVING
1505,-9.54,-0.43,-0.84,HAND_WAVING
1518,-9.65,-0.54,-1.09,HAND_WAVING
1531,-9.81,-0.65,-1.49,HAND_WAVING
1544,-10.15,-0.89,-1.89,HAND_WAVING
1557,-10.47,-1.16,-2.19,HAND_WAVING
1570,-10.95,-1.43,-2.63,HAND_WAVING
1583,-11.61,-1.73,-2.86,HAND_WAVING
1596,-12.06,-2.13,-3.15,HAND_WAVING
1609,-12.11,-2.33,-3.38,HAND_WAVING
1622,-12.06,-2.43,-3.46,HAND_WAVING
1635,-12.05,-2.70,-3.58,HAND_WAVING
1648,-12.11,-2.86,-3.89,HAND_WAVING
1661,-12.14,-3.16,-4.31,HAND_WAVING
1674,-11.88,-3.23,-4.56,HAND_WAVING
1687,-11.22,-3.18,-4.45,HAND_WAVING
1700,-10.40,-3.10,-4.33,HAND_WAVING
1713,-9.54,-2.74,-3.95,HAND_WAVING
1738,-9.23,-2.31,-3.77,HAND_WAVING
1751,-8.64,-2.02,-3.52,HAND_WAVING
1764,-7.79,-1.66,-3.22,HAND_WAVING
1777,-6.64,-1.25,-2.69,HAND_WAVING
1790,-5.35,-0.85,-2.33,HAND_WAVING
1803,-4.44,-0.50,-1.93,HAND_WAVING
1816,-4.09,-0.25,-1.56,HAND_WAVING
1829,-3.88,-0.02,-1.08,HAND_WAVING
1842,-3.37,0.22,-0.53,HAND_WAVING
1855,-2.40,0.67,-0.23,HAND_WAVING
1868,-1.98,1.16,0.13,HAND_WAVING
1881,-1.84,1.60,0.38,HAND_WAVING
1894,-1.50,1.85,0.43,HAND_WAVING
1907,-0.93,1.90,0.47,HAND_WAVING
1920,-0.31,1.88,0.57,HAND_WAVING
1933,0.42,1.84,0.76,HAND_WAVING
1946,1.29,1.91,1.02,HAND_WAVING
1959,2.02,2.20,1.32,HAND_WAVING
1972,2.79,2.44,1.65,HAND_WAVING
1985,3.78,2.62,1.76,HAND_WAVING
1998,4.87,2.82,1.84,HAND_WAVING
2011,5.61,3.02,1.73,HAND_WAVING
2024,6.21,3.42,1.67,HAND_WAVING
2037,6.70,3.72,1.65,HAND_WAVING
2050,6.99,3.86,1.95,HAND_WAVING
2063,7.29,4.18,2.39,HAND_WAVING
2076,7.64,4.48,2.41,HAND_WAVING
