TIME,X,Y,Z,ACTION
103,-0.20,-0.00,10.56,HAND_WAVING
166,0.36,-0.15,9.69,HAND_WAVING
179,0.55,-0.05,9.47,HAND_WAVING
192,0.74,0.09,9.36,HAND_WAVING
205,1.01,0.36,9.25,HAND_WAVING
218,1.24,0.62,9.23,HAND_WAVING
231,1.45,0.86,9.21,HAND_WAVING
244,1.64,1.08,9.16,HAND_WAVING
257,1.68,1.17,9.15,HAND_WAVING
270,1.64,1.22,9.17,HAND_WAVING
283,1.62,1.21,9.19,HAND_WAVING
296,1.54,1.12,9.12,HAND_WAVING
309,1.31,1.01,8.97,HAND_WAVING
322,1.13,0.85,8.84,HAND_WAVING
335,1.00,0.78,8.73,HAND_WAVING
348,0.86,0.77,8.56,HAND_WAVING
361,0.63,0.80,8.41,HAND_WAVING
374,0.54,0.96,8.35,HAND_WAVING
387,0.53,1.19,8.33,HAND_WAVING
400,0.48,1.31,8.28,HAND_WAVING
413,-0.36,1.54,8.81,HAND_WAVING
426,-2.74,2.99,12.91,HAND_WAVING
439,-1.89,4.24,10.72,HAND_WAVING
452,-0.56,2.59,8.86,HAND_WAVING
465,-0.08,1.53,8.15,HAND_WAVING
478,0.73,1.26,7.45,HAND_WAVING
491,1.46,1.13,6.83,HAND_WAVING
504,1.36,0.96,7.41,HAND_WAVING
517,0.89,1.03,8.62,HAND_WAVING
530,0.78,0.96,9.24,HAND_WAVING
543,0.78,0.83,9.62,HAND_WAVING
556,0.38,0.78,10.37,HAND_WAVING
569,0.02,0.73,10.71,HAND_WAVING
582,-0.12,0.70,10.61,HAND_WAVING
595,-0.10,0.72,10.48,HAND_WAVING
608,0.12,0.78,10.14,HAND_WAVING
621,0.25,0.88,9.79,HAND_WAVING
634,0.25,1.02,9.71,HAND_WAVING
647,0.18,1.22,9.75,HAND_WAVING
660,0.12,1.43,9.74,HAND_WAVING
673,-0.07,1.39,9.72,HAND_WAVING
686,0.10,1.18,9.94,HAND_WAVING
699,0.17,0.80,10.49,HAND_WAVING
712,0.23,0.38,11.40,HAND_WAVING
725,0.32,-0.14,12.17,HAND_WAVING
738,0.34,-0.78,11.91,HAND_WAVING
751,0.38,-1.42,11.03,HAND_WAVING
764,0.42,-1.81,10.30,HAND_WAVING
777,0.77,-2.09,9.64,HAND_WAVING
