TIME,X,Y,Z,ACTION
103,-0.47,0.14,8.93,HAND_WAVING
166,-0.70,0.17,9.46,HAND_WAVING
179,-0.67,0.21,9.41,HAND_WAVING
192,-0.72,0.25,9.46,HAND_WAVING
205,-0.68,0.25,9.43,HAND_WAVING
218,-0.66,0.28,9.35,HAND_WAVING
231,-0.68,0.32,9.33,HAND_WAVING
244,-0.73,0.48,9.35,HAND_WAVING
257,-0.63,0.69,9.53,HAND_WAVING
270,-0.44,0.87,9.70,HAND_WAVING
283,-0.42,0.79,9.72,HAND_WAVING
296,-0.63,0.64,9.66,HAND_WAVING
309,-0.78,0.45,9.62,HAND_WAVING
322,-0.88,0.39,9.66,HAND_WAVING
335,-1.00,0.44,9.80,HAND_WAVING
348,-1.09,0.42,9.87,HAND_WAVING
361,-1.05,0.40,9.86,HAND_WAVING
374,-1.03,0.31,9.83,HAND_WAVING
387,-1.05,0.29,9.79,HAND_WAVING
400,-0.91,0.34,9.77,HAND_WAVING
413,-0.74,0.39,9.84,HAND_WAVING
426,-0.72,0.30,9.90,HAND_WAVING
439,-1.37,0.43,10.65,HAND_WAVING
452,-2.47,1.86,13.84,HAND_WAVING
465,-2.12,1.44,12.98,HAND_WAVING
478,-2.57,1.27,12.19,HAND_WAVING
491,-2.33,0.67,10.86,HAND_WAVING
504,-1.79,-0.11,9.86,HAND_WAVING
517,-1.06,-0.59,9.21,HAND_WAVING
530,-0.42,-0.95,8.78,HAND_WAVING
543,-0.09,-1.13,8.66,HAND_WAVING
556,0.25,-1.11,8.32,HAND_WAVING
569,0.52,-1.15,8.14,HAND_WAVING
582,0.43,-1.39,8.45,HAND_WAVING
595,0.29,-1.54,8.73,HAND_WAVING
608,0.15,-2.05,8.55,HAND_WAVING
621,-0.19,-2.88,8.96,HAND_WAVING
634,-0.08,-3.09,9.49,HAND_WAVING
647,0.79,-2.17,9.91,HAND_WAVING
660,0.55,-1.03,11.02,HAND_WAVING
673,0.43,-0.17,11.53,HAND_WAVING
686,0.39,-0.31,11.36,HAND_WAVING
699,0.59,-0.77,11.30,HAND_WAVING
712,0.90,-0.71,11.40,HAND_WAVING
725,1.61,-0.04,11.57,HAND_WAVING
738,2.68,1.16,12.27,HAND_WAVING
751,3.54,1.85,12.31,HAND_WAVING
764,3.82,1.93,12.54,HAND_WAVING
777,4.46,2.06,13.30,HAND_WAVING
790,4.53,2.01,13.95,HAND_WAVING
803,4.78,1.76,14.54,HAND_WAVING
816,4.56,1.59,14.55,HAND_WAVING
829,4.32,1.40,14.48,HAND_WAVING
842,3.58,1.12,14.54,HAND_WAVING
855,2.88,0.99,14.57,HAND_WAVING
868,2.26,0.86,14.04,HAND_WAVING
881,2.03,0.88,13.65,HAND_WAVING
894,1.66,1.03,13.12,HAND_WAVING
907,1.34,1.05,12.62,HAND_WAVING
920,1.00,0.83,11.80,HAND_WAVING
933,0.88,0.79,11.18,HAND_WAVING
946,0.83,0.69,10.74,HAND_WAVING
959,0.85,0.79,10.44,HAND_WAVING
972,0.70,0.91,10.25,HAND_WAVING
985,0.17,0.74,9.78,HAND_WAVING
998,-0.43,0.52,9.29,HAND_WAVING
1011,-1.05,0.28,8.67,HAND_WAVING
1024,-1.53,-0.06,7.66,HAND_WAVING
1037,-2.06,-0.19,6.73,HAND_WAVING
1050,-2.75,-0.14,6.18,HAND_WAVING
1063,-3.41,-0.22,5.72,HAND_WAVING
1076,-3.56,-0.20,5.35,HAND_WAVING
1089,-3.39,-0.23,5.22,HAND_WAVING
1102,-3.69,-0.41,5.20,HAND_WAVING
1115,-4.36,-0.61,5.24,HAND_WAVING
1128,-5.18,-1.07,5.28,HAND_WAVING
1141,-6.13,-1.36,5.62,HAND_WAVING
1154,-6.89,-1.63,6.00,HAND_WAVING
