TIME,X,Y,Z,ACTION
103,-0.67,1.28,9.73,BENDING_DOWN
166,-0.88,2.18,9.27,BENDING_DOWN
179,-0.85,1.82,9.46,BENDING_DOWN
192,-0.77,1.29,9.77,BENDING_DOWN
205,-0.65,0.93,10.03,BENDING_DOWN
218,-0.68,0.68,10.29,BENDING_DOWN
231,-0.88,0.51,10.41,BENDING_DOWN
244,-1.02,0.57,10.42,BENDING_DOWN
257,-1.00,0.74,10.23,BENDING_DOWN
270,-0.91,0.66,10.01,BENDING_DOWN
283,-0.81,0.46,9.72,BENDING_DOWN
296,-0.76,0.35,9.30,BENDING_DOWN
309,-0.83,0.39,8.94,BENDING_DOWN
322,-0.96,0.57,8.75,BENDING_DOWN
335,-1.04,0.81,8.62,BENDING_DOWN
348,-1.11,1.03,8.52,BENDING_DOWN
361,-1.17,1.19,8.59,BENDING_DOWN
374,-1.10,1.21,8.79,BENDING_DOWN
387,-0.89,1.10,9.10,BENDING_DOWN
400,-0.68,0.83,9.56,BENDING_DOWN
413,-0.54,0.32,10.03,BENDING_DOWN
426,-0.50,-0.06,10.20,BENDING_DOWN
439,-0.45,-0.08,10.11,BENDING_DOWN
452,-0.35,0.16,9.81,BENDING_DOWN
465,-0.23,0.40,9.35,BENDING_DOWN
478,-0.01,0.58,8.93,BENDING_DOWN
491,0.20,0.60,8.54,BENDING_DOWN
504,0.34,0.66,8.32,BENDING_DOWN
517,0.42,0.73,8.09,BENDING_DOWN
530,0.38,0.83,7.79,BENDING_DOWN
543,0.35,0.94,7.51,BENDING_DOWN
556,0.35,0.95,7.37,BENDING_DOWN
569,0.24,0.93,7.41,BENDING_DOWN
582,0.13,1.04,7.54,BENDING_DOWN
595,0.01,1.13,7.94,BENDING_DOWN
608,-0.10,1.13,8.25,BENDING_DOWN
621,-0.18,1.05,8.48,BENDING_DOWN
634,-0.26,0.96,8.40,BENDING_DOWN
647,-0.29,0.84,8.25,BENDING_DOWN
660,-0.25,0.73,8.12,BENDING_DOWN
673,-0.32,0.63,8.11,BENDING_DOWN
686,-0.33,0.62,8.18,BENDING_DOWN
699,-0.28,0.64,8.31,BENDING_DOWN
712,-0.23,0.63,8.41,BENDING_DOWN
725,-0.20,0.58,8.42,BENDING_DOWN
738,-0.26,0.56,8.33,BENDING_DOWN
751,-0.22,0.64,8.22,BENDING_DOWN
764,-0.34,0.65,8.44,BENDING_DOWN
777,-0.49,0.56,8.88,BENDING_DOWN
790,-0.57,0.47,9.17,BENDING_DOWN
803,-0.58,0.29,9.24,BENDING_DOWN
816,-0.51,0.12,9.20,BENDING_DOWN
829,-0.42,0.03,9.18,BENDING_DOWN
842,-0.41,-0.18,9.21,BENDING_DOWN
855,-0.50,-0.37,9.31,BENDING_DOWN
868,-0.62,-0.52,9.41,BENDING_DOWN
881,-0.66,-0.57,9.39,BENDING_DOWN
894,-0.56,-0.45,9.15,BENDING_DOWN
907,-0.42,-0.44,8.95,BENDING_DOWN
920,-0.26,-0.45,8.54,BENDING_DOWN
933,-0.11,-0.48,8.12,BENDING_DOWN
946,-0.03,-0.54,7.85,BENDING_DOWN
959,-0.13,-0.66,7.82,BENDING_DOWN
972,-0.49,-0.83,8.26,BENDING_DOWN
985,-0.81,-0.83,8.70,BENDING_DOWN
998,-1.04,-0.64,8.98,BENDING_DOWN
1011,-1.23,-0.42,9.05,BENDING_DOWN
1024,-1.17,-0.13,8.90,BENDING_DOWN
1037,-1.17,-0.15,8.62,BENDING_DOWN
1050,-0.98,-0.54,8.35,BENDING_DOWN
1063,-0.75,-0.85,8.30,BENDING_DOWN
1076,-0.68,-1.03,8.26,BENDING_DOWN
1089,-0.64,-1.06,8.21,BENDING_DOWN
1102,-0.73,-1.01,8.31,BENDING_DOWN
1115,-0.80,-1.00,8.35,BENDING_DOWN
1128,-0.94,-1.02,8.35,BENDING_DOWN
1141,-1.22,-1.17,8.46,BENDING_DOWN
1154,-1.37,-1.30,8.62,BENDING_DOWN
1167,-1.45,-1.27,8.88,BENDING_DOWN
1180,-1.43,-1.24,9.19,BENDING_DOWN
1193,-1.26,-1.27,9.36,BENDING_DOWN
1206,-1.08,-1.32,9.37,BENDING_DOWN
1219,-0.97,-1.36,9.41,BENDING_DOWN
1232,-0.83,-1.28,9.28,BENDING_DOWN
1245,-0.68,-1.19,8.95,BENDING_DOWN
1258,-0.52,-1.19,8.87,BENDING_DOWN
1271,-0.36,-1.21,8.99,BENDING_DOWN
1284,-0.12,-1.21,9.11,BENDING_DOWN
1297,0.05,-1.18,9.20,BENDING_DOWN
1310,0.06,-1.14,9.34,BENDING_DOWN
1323,-0.07,-1.13,9.51,BENDING_DOWN
1336,-0.32,-1.19,9.75,BENDING_DOWN
1349,-0.47,-1.22,9.93,BENDING_DOWN
1362,-0.60,-1.37,10.09,BENDING_DOWN
1375,-0.66,-1.44,10.39,BENDING_DOWN
1388,-0.71,-1.41,10.76,BENDING_DOWN
1401,-0.95,-1.38,11.10,BENDING_DOWN
1414,-1.22,-1.36,11.31,BENDING_DOWN
1427,-1.28,-1.28,11.31,BENDING_DOWN
1440,-1.06,-1.16,11.17,BENDING_DOWN
1453,-0.80,-1.15,11.12,BENDING_DOWN
1466,-0.61,-1.14,10.98,BENDING_DOWN
1479,-0.47,-1.15,10.73,BENDING_DOWN
1492,-0.26,-1.22,10.50,BENDING_DOWN
1505,-0.09,-1.36,10.31,BENDING_DOWN
1518,0.07,-1.47,10.42,BENDING_DOWN
1531,0.18,-1.53,10.39,BENDING_DOWN
1544,0.25,-1.54,10.45,BENDING_DOWN
1557,0.25,-1.57,10.57,BENDING_DOWN
1570,0.14,-1.57,10.72,BENDING_DOWN
1583,0.01,-1.57,10.99,BENDING_DOWN
1596,-0.11,-1.51,11.25,BENDING_DOWN
1609,-0.16,-1.56,11.65,BENDING_DOWN
1622,-0.24,-1.73,11.99,BENDING_DOWN
1635,-0.21,-1.78,12.20,BENDING_DOWN
1648,-0.01,-1.75,12.35,BENDING_DOWN
1661,0.10,-1.90,12.51,BENDING_DOWN
1686,-0.05,-2.22,12.55,BENDING_DOWN
1699,-0.14,-2.30,12.35,BENDING_DOWN
1712,-0.30,-2.36,12.24,BENDING_DOWN
1725,-0.41,-2.37,12.34,BENDING_DOWN
1738,-0.40,-2.19,12.33,BENDING_DOWN
1751,-0.33,-1.98,12.46,BENDING_DOWN
1764,-0.26,-1.86,12.43,BENDING_DOWN
1777,-0.29,-1.81,12.27,BENDING_DOWN
1790,-0.24,-1.79,11.88,BENDING_DOWN
1803,-0.24,-1.86,11.59,BENDING_DOWN
1816,-0.21,-2.01,11.58,BENDING_DOWN
1829,-0.13,-2.02,11.69,BENDING_DOWN
1842,-0.03,-1.84,11.87,BENDING_DOWN
1855,0.05,-1.65,12.08,BENDING_DOWN
