X,Y,Z,FALL,ACTION
0.00,0.00,1.00,False,SITTING
0.00,-0.00,1.00,False,SITTING
0.02,-0.27,1.02,False,SITTING
0.17,0.22,1.27,False,SITTING
-0.07,0.25,1.75,False,SITTING
0.17,0.51,1.08,False,SITTING
1.16,0.83,0.35,False,SITTING
0.48,0.64,1.71,False,SITTING
0.67,0.22,-0.05,False,SITTING
0.84,0.24,0.46,False,SITTING
0.49,0.15,0.19,False,SITTING
0.73,-0.26,0.25,False,SITTING
0.68,-0.17,0.17,False,SITTING
0.84,-0.26,0.07,False,SITTING
0.79,-0.28,0.16,False,SITTING
0.96,-0.23,0.22,False,SITTING
0.87,-0.15,0.36,False,SITTING
0.75,-0.16,0.19,False,SITTING
0.94,0.04,0.31,False,SITTING
0.95,0.09,0.38,False,SITTING
0.86,0.18,0.45,False,SITTING
0.74,0.27,0.57,False,SITTING
0.64,0.49,0.44,False,SITTING
0.53,0.30,0.62,False,SITTING
0.78,0.70,0.66,False,SITTING
0.50,0.34,0.78,False,SITTING
0.93,1.11,0.79,False,SITTING
0.51,0.76,0.74,False,SITTING
0.79,0.94,0.77,False,SITTING
0.76,0.76,0.60,False,SITTING
0.73,0.92,0.67,False,SITTING
0.65,0.83,0.41,False,SITTING
0.45,0.95,0.49,False,SITTING
0.48,0.94,0.62,False,SITTING
0.80,1.02,0.76,False,SITTING
0.79,1.00,0.49,False,SITTING
0.79,1.01,0.31,False,SITTING
0.57,0.81,0.29,False,SITTING
0.71,0.76,0.07,False,SITTING
0.18,0.57,0.24,False,SITTING
0.13,0.46,0.40,False,SITTING
0.10,0.60,0.25,False,SITTING
0.20,0.22,0.54,False,SITTING
-0.02,0.84,0.44,False,SITTING
-0.08,0.75,0.66,False,SITTING
-0.26,0.57,0.57,False,SITTING
0.31,0.96,0.65,False,SITTING
-0.11,0.30,0.71,False,SITTING
0.61,0.43,0.62,False,SITTING
0.63,0.67,0.56,False,SITTING
0.92,0.63,0.40,False,SITTING
0.95,0.36,0.32,False,SITTING
0.89,0.37,0.41,False,SITTING
1.15,0.21,0.36,False,SITTING
0.96,0.23,0.47,False,SITTING
1.34,0.16,0.34,False,SITTING
1.00,0.01,0.40,False,SITTING
1.17,0.17,0.38,False,SITTING
1.05,0.01,0.21,False,SITTING
1.36,0.07,0.15,False,SITTING
1.15,-0.01,0.16,False,SITTING
1.13,0.11,0.12,False,SITTING
1.07,0.07,0.23,False,SITTING
1.11,0.17,0.17,False,SITTING
