X,Y,Z,FALL,ACTION
0.00,0.00,1.00,False,SITTING
-0.02,-0.24,1.00,False,SITTING
0.26,0.41,1.25,False,SITTING
0.17,0.28,1.44,False,SITTING
0.19,0.39,1.55,False,SITTING
0.33,0.27,1.19,False,SITTING
0.31,0.24,1.14,False,SITTING
0.27,0.06,0.39,False,SITTING
0.43,0.25,0.66,False,SITTING
0.58,0.11,0.53,False,SITTING
0.43,0.34,0.71,False,SITTING
0.54,0.27,0.27,False,SITTING
0.81,0.38,0.29,False,SITTING
0.71,0.19,0.22,False,SITTING
0.96,0.44,0.30,False,SITTING
0.85,0.28,0.31,False,SITTING
0.69,0.17,0.37,False,SITTING
0.83,0.56,0.38,False,SITTING
0.64,0.08,0.39,False,SITTING
0.79,0.49,0.52,False,SITTING
0.74,0.18,0.60,False,SITTING
0.90,0.39,0.60,False,SITTING
0.85,0.21,0.64,False,SITTING
0.75,0.24,0.66,False,SITTING
0.99,0.37,0.64,False,SITTING
0.71,0.26,0.76,False,SITTING
0.91,0.56,0.84,False,SITTING
0.58,0.22,0.83,False,SITTING
0.56,0.40,0.78,False,SITTING
0.46,0.20,0.85,False,SITTING
0.40,0.46,0.93,False,SITTING
0.40,0.29,0.94,False,SITTING
0.61,0.19,0.84,False,SITTING
0.58,0.39,0.95,False,SITTING
0.46,0.45,0.89,False,SITTING
0.61,0.85,1.08,False,SITTING
0.57,0.49,0.97,False,SITTING
0.81,0.66,0.89,False,SITTING
0.28,0.07,0.82,False,SITTING
0.48,0.86,1.19,False,SITTING
-0.17,0.66,1.19,False,SITTING
0.08,0.75,0.76,False,SITTING
0.02,0.29,0.58,False,SITTING
-0.30,0.53,0.72,False,SITTING
-0.03,0.61,0.76,False,SITTING
-0.05,0.31,0.47,False,SITTING
0.12,0.65,0.97,False,SITTING
-0.18,0.07,0.36,False,SITTING
0.13,0.85,0.99,False,SITTING
-0.01,0.49,0.90,False,SITTING
0.12,0.31,0.79,False,SITTING
0.30,0.45,0.91,False,SITTING
0.36,0.40,0.94,False,SITTING
0.40,0.30,0.78,False,SITTING
0.37,0.30,0.94,False,SITTING
0.37,0.36,1.01,False,SITTING
0.47,0.17,0.89,False,SITTING
0.40,0.12,0.82,False,SITTING
0.58,0.12,0.90,False,SITTING
0.73,-0.01,0.70,False,SITTING
0.90,0.06,0.76,False,SITTING
0.84,0.07,0.72,False,SITTING
0.69,0.22,0.71,False,SITTING
0.97,0.09,0.64,False,SITTING
0.91,0.14,0.85,False,SITTING
0.79,0.10,0.80,False,SITTING
0.71,0.05,0.76,False,SITTING
0.81,0.10,0.91,False,SITTING
0.76,0.07,0.93,False,SITTING
0.70,0.05,0.82,False,SITTING
0.74,0.15,0.90,False,SITTING
0.69,0.18,0.83,False,SITTING
