X,Y,Z,FALL,ACTION
0.05,0.03,1.00,False,BENDING_DOWN
0.22,0.32,1.24,False,BENDING_DOWN
-0.15,0.26,1.66,False,BENDING_DOWN
-0.07,0.53,1.13,False,BENDING_DOWN
0.24,0.55,0.76,False,BENDING_DOWN
0.15,0.46,0.66,False,BENDING_DOWN
0.39,0.37,0.75,False,BENDING_DOWN
0.41,0.28,0.54,False,BENDING_DOWN
0.31,0.38,0.69,False,BENDING_DOWN
0.47,0.29,0.69,False,BENDING_DOWN
0.49,0.36,0.73,False,BENDING_DOWN
0.20,0.38,0.44,False,BENDING_DOWN
0.55,0.42,0.81,False,BENDING_DOWN
0.48,0.27,0.51,False,BENDING_DOWN
0.64,0.43,0.77,False,BENDING_DOWN
0.61,0.27,0.59,False,BENDING_DOWN
0.70,0.32,0.59,False,BENDING_DOWN
0.73,0.26,0.61,False,BENDING_DOWN
0.83,0.25,0.68,False,BENDING_DOWN
0.86,0.22,0.69,False,BENDING_DOWN
0.75,0.27,0.61,False,BENDING_DOWN
0.73,0.37,0.64,False,BENDING_DOWN
0.82,0.32,0.49,False,BENDING_DOWN
0.91,0.27,0.43,False,BENDING_DOWN
0.99,0.43,0.76,False,BENDING_DOWN
0.89,0.39,0.48,False,BENDING_DOWN
0.96,0.27,0.50,False,BENDING_DOWN
1.25,0.04,0.50,False,BENDING_DOWN
0.89,0.36,0.43,False,BENDING_DOWN
0.83,0.32,0.16,False,BENDING_DOWN
0.95,0.58,0.67,False,BENDING_DOWN
0.99,0.13,0.43,False,BENDING_DOWN
1.12,-0.00,0.25,False,BENDING_DOWN
1.10,0.21,0.36,False,BENDING_DOWN
1.09,0.20,0.33,False,BENDING_DOWN
1.11,0.28,0.27,False,BENDING_DOWN
1.03,0.23,0.25,False,BENDING_DOWN
0.85,0.27,0.10,False,BENDING_DOWN
0.89,0.19,0.10,False,BENDING_DOWN
0.93,0.31,0.19,False,BENDING_DOWN
1.00,0.20,0.19,False,BENDING_DOWN
1.17,0.27,0.22,False,BENDING_DOWN
1.11,0.24,0.40,False,BENDING_DOWN
1.01,0.17,0.49,False,BENDING_DOWN
1.09,0.14,0.40,False,BENDING_DOWN
1.00,0.10,0.68,False,BENDING_DOWN
0.85,-0.02,0.67,False,BENDING_DOWN
0.95,-0.03,0.81,False,BENDING_DOWN
0.82,0.04,0.70,False,BENDING_DOWN
0.72,0.17,0.62,False,BENDING_DOWN
0.70,0.17,1.13,False,BENDING_DOWN
0.81,0.18,0.79,False,BENDING_DOWN
0.69,0.23,0.85,False,BENDING_DOWN
0.65,0.30,0.76,False,BENDING_DOWN
0.59,0.24,0.85,False,BENDING_DOWN
0.48,0.32,0.89,False,BENDING_DOWN
0.44,0.28,0.90,False,BENDING_DOWN
0.53,0.24,0.88,False,BENDING_DOWN
0.50,0.25,0.89,False,BENDING_DOWN
0.64,0.11,0.85,False,BENDING_DOWN
0.56,0.15,0.88,False,BENDING_DOWN
0.62,0.11,0.85,False,BENDING_DOWN
0.56,0.15,0.88,False,BENDING_DOWN
0.61,0.14,0.86,False,BENDING_DOWN
0.60,0.13,0.86,False,BENDING_DOWN
0.61,0.14,0.85,False,BENDING_DOWN
0.64,0.13,0.84,False,BENDING_DOWN
