X,Y,Z,FALL,ACTION
0.03,0.02,1.01,False,BENDING_DOWN
-0.12,-0.24,1.49,False,BENDING_DOWN
0.27,-0.08,1.07,False,BENDING_DOWN
0.04,-0.22,1.30,False,BENDING_DOWN
0.20,-0.08,0.96,False,BENDING_DOWN
0.23,-0.31,0.95,False,BENDING_DOWN
0.08,-0.22,0.73,False,BENDING_DOWN
0.20,-0.36,0.67,False,BENDING_DOWN
0.32,-0.44,0.62,False,BENDING_DOWN
0.33,-0.14,0.64,False,BENDING_DOWN
0.56,-0.41,0.77,False,BENDING_DOWN
0.36,-0.36,0.85,False,BENDING_DOWN
0.46,-0.26,0.70,False,BENDING_DOWN
0.31,-0.13,0.69,False,BENDING_DOWN
0.43,-0.14,0.58,False,BENDING_DOWN
0.52,-0.14,0.63,False,BENDING_DOWN
0.72,-0.10,0.61,False,BENDING_DOWN
0.76,0.08,0.66,False,BENDING_DOWN
0.62,0.00,0.53,False,BENDING_DOWN
0.71,-0.06,0.73,False,BENDING_DOWN
0.64,0.07,0.63,False,BENDING_DOWN
0.90,-0.12,0.82,False,BENDING_DOWN
0.75,0.10,0.59,False,BENDING_DOWN
0.78,-0.16,0.99,False,BENDING_DOWN
0.77,0.04,0.66,False,BENDING_DOWN
0.68,0.03,0.81,False,BENDING_DOWN
0.84,0.04,0.77,False,BENDING_DOWN
0.78,0.02,0.88,False,BENDING_DOWN
0.91,-0.07,0.87,False,BENDING_DOWN
0.63,-0.05,0.93,False,BENDING_DOWN
1.02,0.02,0.58,False,BENDING_DOWN
0.89,-0.28,0.99,False,BENDING_DOWN
0.74,-0.05,0.74,False,BENDING_DOWN
0.89,-0.31,0.75,False,BENDING_DOWN
0.86,-0.16,0.64,False,BENDING_DOWN
0.78,-0.30,0.78,False,BENDING_DOWN
1.00,-0.30,0.59,False,BENDING_DOWN
0.91,-0.36,0.70,False,BENDING_DOWN
0.83,-0.24,0.61,False,BENDING_DOWN
0.87,-0.27,0.58,False,BENDING_DOWN
0.93,-0.41,0.58,False,BENDING_DOWN
0.87,-0.34,0.55,False,BENDING_DOWN
1.02,-0.33,0.55,False,BENDING_DOWN
0.81,-0.42,0.71,False,BENDING_DOWN
0.97,-0.34,0.59,False,BENDING_DOWN
0.87,-0.25,0.59,False,BENDING_DOWN
0.94,-0.20,0.62,False,BENDING_DOWN
0.85,-0.15,0.65,False,BENDING_DOWN
0.99,-0.13,0.54,False,BENDING_DOWN
0.94,-0.14,0.57,False,BENDING_DOWN
0.91,-0.20,0.58,False,BENDING_DOWN
0.91,-0.14,0.57,False,BENDING_DOWN
0.90,-0.18,0.58,False,BENDING_DOWN
0.89,-0.21,0.56,False,BENDING_DOWN
0.90,-0.21,0.61,False,BENDING_DOWN
0.95,-0.16,0.56,False,BENDING_DOWN
1.02,-0.37,0.54,False,BENDING_DOWN
0.88,-0.44,0.60,False,BENDING_DOWN
0.74,-0.29,0.60,False,BENDING_DOWN
0.84,-0.33,0.53,False,BENDING_DOWN
0.87,-0.35,0.48,False,BENDING_DOWN
0.81,-0.38,0.54,False,BENDING_DOWN
